CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,,
71,53,66,69,0,0,0,0,1804,1804,1804,1803,0,0,0,0,5,905,1710,2332,2021,0,777,3009,9849,,,
66,72,50,53,0,0,0,0,1802,1804,1803,1804,0,0,0,0,4,905,1710,2332,2021,0,777,3009,9849,,,
53,72,83,50,0,0,0,0,1802,1799,1805,1804,0,0,0,0,4,905,1710,2332,2021,0,777,3009,9849,,,
75,69,66,50,0,0,0,0,1803,1804,1804,1804,0,0,0,0,9,905,1710,2332,2021,0,777,3009,9849,,,
68,57,73,64,0,0,0,0,1802,1803,1805,1803,0,0,0,0,47,905,1710,2331,2020,0,777,3009,9847,,,
77,71,81,45,0,0,0,0,1804,1804,1802,1803,0,0,0,0,3,905,1710,2331,2020,0,777,3009,9847,,,
85,75,69,71,0,0,0,0,1804,1803,1804,1803,0,0,0,0,0,905,1710,2331,2020,0,777,3009,9847,,,
75,57,72,78,0,0,0,0,1800,1803,1803,1803,0,0,0,0,46,905,1710,2487,2020,0,777,3049,10043,,,
41,66,76,66,0,0,0,0,1806,1803,1804,1801,0,0,0,0,3,905,1710,2331,2020,0,777,3009,9847,,,
83,73,58,64,0,0,0,0,1804,1804,1805,1804,0,0,0,0,46,905,1710,2331,2020,0,777,3009,9847,,,
54,66,69,54,0,0,0,0,1804,1804,1803,1801,0,0,0,0,22,905,1710,2332,2020,0,777,3009,9848,,,
73,63,76,64,0,0,0,0,1804,1804,1804,1803,0,0,0,0,3,905,1710,2331,2020,0,777,3009,9847,,,
71,76,66,54,0,0,0,0,1804,1803,1803,1804,0,0,0,0,18,905,1865,2487,2020,0,777,3009,10158,,,
69,70,84,69,0,0,0,0,1804,1804,1804,1802,0,0,0,0,4,905,1865,2487,2020,0,777,3009,10158,,,
83,69,45,64,0,0,0,0,1803,1804,1803,1804,0,0,0,0,23,905,1710,2331,2020,0,777,3009,9847,,,
72,76,58,58,0,0,0,0,1803,1804,1804,1799,0,0,0,0,1,905,1866,2331,2020,0,777,3009,10003,,,
45,57,81,83,0,0,0,0,1804,1804,1805,1804,0,0,0,0,11,905,1866,2331,2020,0,777,3009,10003,,,
61,69,57,76,0,0,0,0,1803,1804,1804,1804,0,0,0,0,17,905,1710,2332,2020,0,777,3009,9848,,,
69,75,71,66,0,0,0,0,1804,1804,1805,1804,0,0,0,0,26,905,1710,2332,2020,0,777,3009,9848,,,
76,76,54,58,0,0,0,0,1805,1804,1804,1804,0,0,0,0,0,905,1710,2331,2020,0,777,3009,9847,,,
54,66,71,76,0,0,0,0,1804,1807,1804,1804,0,0,0,0,2,905,1710,2331,2020,0,777,3009,9847,,,
66,66,69,72,0,0,0,0,1803,1804,1804,1804,0,0,0,0,1,905,1710,2331,2020,0,777,3009,9847,,,
69,69,66,66,0,0,0,0,1804,1804,1804,1805,0,0,0,0,0,905,1710,2331,2020,0,777,3009,9847,,,
58,66,75,75,0,0,0,0,1804,1804,1804,1804,0,0,0,0,5,905,1710,2331,2020,0,777,3009,9847,,,
58,76,78,92,0,0,0,0,1804,1800,1804,1804,0,0,0,0,46,905,1865,2487,2020,0,777,3009,10158,,,
66,61,76,85,0,0,0,0,1802,1804,1800,1804,0,0,0,0,44,905,1865,2487,2020,0,932,3049,10353,,,
66,63,58,64,0,0,0,0,1804,1804,1804,1800,0,0,0,0,2,905,1865,2487,2020,0,777,3009,10158,,,
66,71,80,75,0,0,0,0,1804,1804,1803,1803,0,0,0,0,29,905,1865,2487,2020,0,777,3009,10158,,,
78,72,63,75,0,0,0,0,1804,1804,1804,1804,0,0,0,0,0,905,1865,2487,2020,0,777,3009,10158,,,
69,66,78,76,0,0,0,0,1803,1802,1804,1804,0,0,0,0,38,905,1865,2487,2020,0,777,3049,10198,,,
66,61,83,84,0,0,0,0,1803,1804,1804,1801,0,0,0,0,44,905,1710,2487,2020,0,777,3049,10043,,,
72,69,71,72,0,0,0,0,1803,1802,1804,1802,0,0,0,0,12,905,1865,2487,2020,0,777,3049,10198,,,
64,61,66,69,0,0,0,0,1804,1806,1804,1804,0,0,0,0,1,905,1865,2487,2020,0,777,3049,10198,,,
61,46,71,75,0,0,0,0,1803,1804,1802,1803,0,0,0,0,3,905,1710,2331,2020,0,777,3009,9847,,,
63,54,69,66,0,0,0,0,1803,1803,1799,1803,0,0,0,0,45,905,1710,2331,2020,0,777,3009,9847,,,
81,58,58,71,0,0,0,0,1803,1804,1803,1804,0,0,0,0,46,905,1710,2331,2020,0,777,3009,9847,,,
64,61,75,57,0,0,0,0,1802,1802,1803,1804,0,0,0,0,45,905,1710,2331,2020,0,777,3009,9847,,,
75,50,72,72,0,0,0,0,1803,1804,1804,1803,0,0,0,0,35,905,1710,2331,2020,0,777,3009,9847,,,
76,61,71,61,0,0,0,0,1802,1803,1803,1804,0,0,0,0,45,905,1710,2331,2020,0,777,3009,9847,,,
84,61,75,66,0,0,0,0,1804,1804,1807,1804,0,0,0,0,38,905,1710,2331,2020,0,777,3009,9847,,,
80,83,61,53,0,0,0,0,1802,1804,1807,1803,0,0,0,0,1,905,1865,2331,2020,0,777,3009,10002,,,
50,46,75,66,0,0,0,0,1804,1803,1804,1805,0,0,0,0,10,905,1710,2331,2020,0,777,3009,9847,,,
60,69,69,58,0,0,0,0,1801,1804,1804,1804,0,0,0,0,22,905,1710,2331,2020,0,777,3009,9847,,,
66,63,81,63,0,0,0,0,1804,1803,1807,1804,0,0,0,0,37,905,1710,2331,2020,0,777,3009,9847,,,
63,41,69,71,0,0,0,0,1801,1804,1804,1804,0,0,0,0,44,905,1710,2331,2020,0,777,3009,9847,,,
63,84,66,53,0,0,0,0,1803,1804,1805,1803,0,0,0,0,0,905,1710,2331,2020,0,777,3009,9847,,,
69,58,69,75,0,0,0,0,1804,1805,1803,1809,0,0,0,0,7,905,1710,2331,2020,0,777,3009,9847,,,
69,61,66,81,0,0,0,0,1804,1804,1804,1803,0,0,0,0,32,905,1710,2331,2020,0,777,3009,9847,,,
58,61,63,85,0,0,0,0,1802,1803,1804,1804,0,0,0,0,1,905,1710,2331,2020,0,777,3009,9847,,,
66,61,75,72,0,0,0,0,1804,1803,1804,1804,0,0,0,0,2,905,1710,2331,2020,0,777,3009,9847,,,
75,66,76,63,0,0,0,0,1803,1805,1804,1804,0,0,0,0,18,905,1710,2487,2020,0,777,3009,10003,,,
76,64,83,63,0,0,0,0,1804,1803,1804,1804,0,0,0,0,5,905,1710,2487,2020,0,777,3009,10003,,,
58,71,66,81,0,0,0,0,1804,1804,1804,1804,0,0,0,0,1,905,1865,2487,2020,0,777,3009,10158,,,
80,71,69,54,0,0,0,0,1803,1804,1803,1804,0,0,0,0,18,905,1710,2487,2020,0,777,3009,10003,,,
75,66,76,57,0,0,0,0,1803,1804,1804,1807,0,0,0,0,23,905,1865,2487,2020,0,777,3009,10158,,,
63,54,81,72,0,0,0,0,1804,1804,1804,1804,0,0,0,0,26,905,1710,2487,2020,0,777,3009,10003,,,
66,85,69,85,0,0,0,0,1803,1804,1804,1804,0,0,0,0,14,905,1865,2487,2020,0,777,3009,10158,,,
80,64,71,61,0,0,0,0,1804,1805,1803,1803,0,0,0,0,4,905,1865,2487,2020,0,777,3009,10158,,,
69,66,76,75,0,0,0,0,1804,1803,1804,1803,0,0,0,0,6,905,1710,2487,2020,0,777,3009,10003,,,
72,58,83,64,0,0,0,0,1804,1804,1799,1804,0,0,0,0,7,905,1710,2487,2020,0,777,3009,10003,,,
64,84,83,78,0,0,0,0,1804,1804,1804,1804,0,0,0,0,47,905,1710,2487,2020,0,777,3049,10043,,,
71,85,75,53,0,0,0,0,1804,1804,1804,1804,0,0,0,0,25,905,1865,2487,2020,0,777,3009,10158,,,
66,36,72,66,0,0,0,0,1804,1804,1804,1803,0,0,0,0,1,905,1710,2487,2020,0,777,3009,10003,,,
61,53,76,66,0,0,0,0,1804,1804,1804,1803,0,0,0,0,5,905,1710,2331,2020,0,777,3009,9847,,,
50,72,66,75,0,0,0,0,1805,1804,1804,1804,0,0,0,0,0,905,1710,2331,2020,0,777,3009,9847,,,
83,75,60,61,0,0,0,0,1804,1804,1800,1804,0,0,0,0,0,905,1710,2331,2020,0,777,3009,9847,,,
81,75,73,50,0,0,0,0,1804,1804,1800,1803,0,0,0,0,3,905,1710,2487,2020,0,777,3009,10003,,,
53,69,83,30,0,0,0,0,1804,1804,1803,1805,0,0,0,0,36,905,1710,2332,2021,0,777,3009,9849,,,
76,70,64,69,0,0,0,0,1806,1804,1803,1804,0,0,0,0,36,905,1710,2331,2020,0,777,3009,9847,,,
72,84,63,61,0,0,0,0,1804,1804,1804,1803,0,0,0,0,1,905,1710,2331,2020,0,777,3009,9847,,,
84,75,50,57,0,0,0,0,1802,1804,1803,1804,0,0,0,0,0,905,1555,2332,2020,0,777,3009,9693,,,
61,75,66,81,0,0,0,0,1804,1803,1804,1804,0,0,0,0,12,905,1710,2487,2020,0,777,3009,10003,,,
53,57,75,84,0,0,0,0,1804,1804,1800,1804,0,0,0,0,2,905,1710,2331,2020,0,777,3009,9847,,,
66,61,83,66,0,0,0,0,1803,1806,1804,1802,0,0,0,0,46,905,1710,2331,2020,0,777,3009,9847,,,
72,76,69,66,0,0,0,0,1804,1803,1804,1804,0,0,0,0,44,905,1710,2487,2020,0,777,3009,10003,,,
71,50,71,71,0,0,0,0,1804,1803,1804,1805,0,0,0,0,46,905,1710,2331,2020,0,777,3009,9847,,,
78,76,76,84,0,0,0,0,1804,1804,1803,1804,0,0,0,0,32,905,1710,2487,2020,0,777,3009,10003,,,
63,71,64,78,0,0,0,0,1804,1805,1804,1803,0,0,0,0,0,905,1710,2487,2020,0,777,3009,10003,,,
61,81,69,75,0,0,0,0,1804,1804,1804,1803,0,0,0,0,2,905,1710,2487,2020,0,777,3009,10003,,,
76,64,50,61,0,0,0,0,1804,1803,1802,1803,0,0,0,0,47,905,1710,2487,2020,0,777,3009,10003,,,
69,76,27,50,0,0,0,0,1804,1804,1804,1805,0,0,0,0,25,905,1710,2331,2020,0,777,3009,9847,,,
54,83,53,69,0,0,0,0,1804,1804,1802,1803,0,0,0,0,22,905,1710,2331,2020,0,777,3009,9847,,,
81,66,75,61,0,0,0,0,1804,1803,1803,1804,0,0,0,0,0,905,1710,2331,2020,0,777,3009,9847,,,
84,76,76,63,0,0,0,0,1799,1804,1801,1802,0,0,0,0,19,905,1710,2487,2020,0,777,3009,10003,,,
72,54,66,75,0,0,0,0,1804,1804,1804,1804,0,0,0,0,0,905,1710,2487,2020,0,777,3009,10003,,,
61,73,72,76,0,0,0,0,1804,1803,1805,1808,0,0,0,0,0,905,1710,2487,2020,0,777,3009,10003,,,
69,75,66,61,0,0,0,0,1804,1805,1805,1804,0,0,0,0,1,905,1710,2487,2020,0,777,3009,10003,,,
75,76,66,63,0,0,0,0,1804,1803,1804,1804,0,0,0,0,5,905,1710,2487,2020,0,777,3009,10003,,,
61,69,76,61,0,0,0,0,1802,1799,1804,1804,0,0,0,0,2,905,1710,2487,2020,0,777,3009,10003,,,
75,69,63,66,0,0,0,0,1805,1805,1803,1804,0,0,0,0,1,905,1710,2488,2021,0,777,3009,10005,,,
61,71,71,58,0,0,0,0,1803,1804,1807,1803,0,0,0,0,3,905,1710,2332,2021,0,777,3009,9849,,,
66,58,69,71,0,0,0,0,1806,1804,1804,1804,0,0,0,0,43,905,1710,2332,2020,0,777,3009,9848,,,
61,72,84,54,0,0,0,0,1804,1804,1803,1798,0,0,0,0,48,905,1710,2331,2020,0,777,3009,9847,,,
75,41,69,81,0,0,0,0,1804,1804,1804,1804,0,0,0,0,45,905,1710,2331,2020,0,777,3009,9847,,,
75,72,58,63,0,0,0,0,1803,1803,1804,1804,0,0,0,0,20,905,1710,2487,2020,0,777,3009,10003,,,
63,76,81,69,0,0,0,0,1803,1804,1803,1804,0,0,0,0,4,905,1710,2487,2020,0,777,3009,10003,,,
64,84,64,75,0,0,0,0,1806,1806,1805,1804,0,0,0,0,45,905,1710,2487,2020,0,777,3009,10003,,,
84,61,72,70,0,0,0,0,1805,1804,1804,1803,0,0,0,0,0,905,1710,2487,2020,0,777,3009,10003,,,
76,66,66,69,0,0,0,0,1804,1803,1804,1804,0,0,0,0,4,905,1710,2487,2020,0,777,3009,10003,,,
83,75,50,50,0,0,0,0,1804,1803,1804,1804,0,0,0,0,11,905,1710,2487,2020,0,777,3009,10003,,,
66,71,76,76,0,0,0,0,1803,1804,1801,1804,0,0,0,0,3,905,1710,2487,2020,0,777,3009,10003,,,
63,58,76,66,0,0,0,0,1804,1804,1804,1803,0,0,0,0,2,905,1710,2487,2020,0,777,3009,10003,,,
71,41,76,53,0,0,0,0,1803,1803,1801,1802,0,0,0,0,44,905,1710,2332,2021,0,777,3009,9849,,,
76,54,50,69,0,0,0,0,1804,1803,1803,1804,0,0,0,0,0,905,1710,2332,2021,0,777,3009,9849,,,
66,69,76,70,0,0,0,0,1803,1804,1804,1804,0,0,0,0,0,905,1710,2332,2021,0,777,3009,9849,,,
58,69,75,85,0,0,0,0,1802,1804,1803,1799,0,0,0,0,3,905,1710,2488,2020,0,777,3009,10004,,,
66,83,66,83,0,0,0,0,1804,1804,1804,1802,0,0,0,0,0,905,1710,2487,2020,0,777,3009,10003,,,
66,69,75,66,0,0,0,0,1804,1804,1804,1804,0,0,0,0,44,905,1710,2488,2020,0,777,3009,10004,,,
60,80,83,61,0,0,0,0,1803,1804,1806,1804,0,0,0,0,0,905,1710,2487,2020,0,777,3009,10003,,,
69,75,61,76,0,0,0,0,1804,1804,1803,1803,0,0,0,0,4,905,1710,2488,2020,0,777,3009,10004,,,
75,53,85,72,0,0,0,0,1804,1803,1804,1804,0,0,0,0,1,905,1710,2487,2020,0,777,3009,10003,,,
66,46,83,83,0,0,0,0,1804,1804,1803,1805,0,0,0,0,11,905,1710,2487,2020,0,777,3009,10003,,,
83,45,75,64,0,0,0,0,1802,1804,1804,1803,0,0,0,0,10,905,1710,2487,2020,0,777,3009,10003,,,
75,84,58,41,0,0,0,0,1803,1802,1804,1804,0,0,0,0,2,905,1710,2332,2021,0,777,3009,9849,,,
63,85,63,50,0,0,0,0,1804,1804,1800,1804,0,0,0,0,46,905,1710,2332,2021,0,777,3009,9849,,,
81,66,69,45,0,0,0,0,1802,1803,1803,1804,0,0,0,0,47,905,1710,2332,2020,0,777,3009,9848,,,
