CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,
18,8,54,30,50,33,58,25,2257,2258,2257,2257,2257,2258,2258,2257,29,1377,4031,4652,3101,0,930,3370,16084,,
72,50,36,16,45,45,7,0,2257,2257,2258,2257,2258,2257,2258,2255,34,1377,3876,4652,3101,0,930,3370,15929,,
16,72,16,18,66,72,0,8,2256,2261,2259,2253,2258,2255,2259,2258,33,1377,4031,4807,3100,0,930,3370,16238,,
38,72,30,30,54,60,0,9,2257,2258,2256,2257,2255,2256,2258,2257,34,1377,4031,4805,3100,0,930,3370,16236,,
61,66,18,33,41,27,0,15,2257,2256,2258,2259,2255,2257,2256,2257,28,1377,3876,4652,3101,0,930,3370,15929,,
41,53,18,18,38,25,50,25,2257,2261,2256,2257,2259,2257,2255,2257,34,1377,3876,4807,3101,0,930,3370,16084,,
25,69,61,18,20,46,16,33,2258,2258,2258,2257,2258,2257,2257,2257,34,1377,4031,4805,3100,0,930,3370,16236,,
18,70,58,25,42,45,8,23,2258,2256,2261,2258,2257,2257,2254,2256,20,1377,4031,4805,3100,0,930,3370,16236,,
16,33,50,53,23,53,25,18,2258,2255,2256,2257,2256,2257,2257,2258,1,1377,4031,4650,3101,0,930,3370,16082,,
57,50,25,10,36,16,36,33,2257,2256,2257,2257,2258,2255,2258,2258,34,1377,3876,4650,3101,0,930,3370,15927,,
16,25,50,50,16,14,50,57,2258,2256,2257,2253,2258,2257,2257,2258,3,1377,4031,4650,3100,0,930,3370,16081,,
16,15,41,54,8,58,60,63,2258,2257,2260,2259,2257,2258,2257,2257,6,1377,4031,4805,3100,0,930,3370,16236,,
23,10,50,36,0,90,66,66,2254,2256,2259,2257,2253,2258,2257,2254,2,1377,4030,5115,3100,0,930,3370,16545,,
41,38,9,27,8,91,76,33,2257,2258,2257,2252,2257,2256,2261,2258,34,1377,3875,5425,3100,0,930,3370,16700,,
20,8,50,53,54,66,30,35,2257,2256,2257,2258,2253,2257,2258,2258,0,1377,3101,5427,2946,0,775,3290,15539,,
81,0,83,10,33,66,38,16,2257,2257,2255,2254,2257,2257,2255,2254,0,1377,2637,5429,2947,0,775,3290,15078,,
8,84,58,53,50,50,8,33,2256,2256,2251,2258,2252,2257,2255,2256,0,1377,2328,5429,2792,0,620,3250,14419,,
15,81,16,91,16,50,9,63,2250,2257,2256,2255,2257,2256,2257,2255,0,1377,2017,5587,2793,0,620,3210,14227,,
0,83,0,83,16,45,50,50,2256,2259,2258,2255,2257,2257,2255,2260,0,1377,1707,5587,2793,0,620,3210,13917,,
8,80,0,90,10,38,41,61,2258,2257,2261,2257,2256,2257,2258,2258,0,1377,1552,5742,2793,0,620,3210,13917,,
81,25,0,90,16,45,10,63,2256,2252,2256,2258,2256,2255,2260,2257,0,1377,1552,5744,2794,0,621,3170,13881,,
83,18,0,83,23,41,25,66,2257,2257,2257,2256,2257,2259,2258,2257,0,1377,1397,5744,2639,0,465,3170,13415,,
15,83,0,90,30,45,16,63,2259,2257,2255,2257,2256,2254,2258,2255,0,1377,1397,5589,2639,0,465,3170,13260,,
