CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,
45,30,36,9,63,41,33,36,2256,2255,2257,2256,2256,2259,2258,2255,33,1377,4956,5575,3252,0,1084,3451,18318,,
50,18,61,46,45,53,9,8,2260,2254,2257,2258,2258,2256,2259,2257,34,1377,4803,5420,3252,0,1084,3451,18010,,
27,66,8,58,33,41,8,25,2257,2257,2256,2257,2250,2263,2258,2256,1,1377,4648,5268,3253,0,1084,3410,17663,,
66,28,9,50,50,46,18,25,2256,2258,2258,2256,2256,2257,2258,2258,29,1377,4340,5115,3098,0,1084,3410,17047,,
0,0,46,25,45,36,27,50,2258,2255,2253,2258,2259,2251,2258,2257,23,1377,4340,4960,3100,0,930,3370,16700,,
30,0,50,54,50,33,30,36,2259,2259,2257,2258,2255,2259,2259,2258,5,1377,4185,4960,3100,0,930,3370,16545,,
18,28,58,46,38,27,58,35,2257,2257,2258,2257,2257,2250,2252,2259,1,1377,4185,4960,3100,0,930,3370,16545,,
23,27,27,46,16,46,61,33,2256,2258,2256,2257,2257,2258,2256,2257,33,1377,4030,4960,3100,0,930,3370,16390,,
25,25,25,72,28,50,18,54,2257,2259,2259,2251,2256,2259,2257,2256,31,1377,4030,4805,3100,0,930,3370,16235,,
30,25,9,76,18,46,16,58,2257,2257,2259,2266,2258,2254,2253,2259,28,1377,4030,4960,3100,0,930,3370,16390,,
25,20,45,45,16,54,23,58,2256,2258,2253,2270,2257,2258,2255,2253,27,1377,4030,4960,3100,0,930,3370,16390,,
41,41,8,15,25,75,25,58,2259,2256,2260,2253,2256,2257,2258,2258,33,1377,4030,4805,3100,0,930,3370,16235,,
50,25,16,16,9,75,18,71,2257,2257,2255,2257,2259,2258,2258,2256,33,1377,4185,4960,3100,0,930,3370,16545,,
50,41,30,16,23,66,16,54,2258,2256,2257,2255,2261,2259,2257,2251,7,1377,4185,4960,3100,0,930,3370,16545,,
54,20,27,23,18,75,18,61,2257,2254,2259,2258,2258,2257,2260,2257,19,1377,4185,4960,3100,0,930,3370,16545,,
35,15,25,61,16,63,30,58,2257,2256,2257,2254,2258,2252,2256,2257,15,1377,4030,5115,3100,0,930,3370,16545,,
9,8,72,58,36,66,18,23,2258,2262,2257,2256,2257,2258,2256,2258,1,1377,4030,5115,3100,0,930,3370,16545,,
66,23,76,46,8,16,25,25,2260,2258,2257,2258,2256,2258,2260,2257,21,1377,4030,4960,3100,0,930,3370,16390,,
0,9,72,75,23,8,66,30,2258,2256,2257,2254,2258,2257,2252,2258,18,1377,4030,4960,3100,0,930,3370,16390,,
9,15,53,70,27,15,75,33,2256,2253,2255,2257,2254,2254,2252,2257,32,1377,3875,4805,3100,0,930,3370,16080,,
23,9,58,50,33,20,76,15,2259,2252,2251,2257,2258,2258,2257,2250,32,1377,3875,4960,3100,0,930,3410,16275,,
25,8,33,9,36,50,75,16,2258,2256,2258,2259,2258,2258,2257,2257,32,1377,3876,4805,3100,0,930,3410,16121,,
28,25,41,8,27,53,58,18,2258,2257,2258,2261,2258,2257,2258,2257,0,1377,4030,4805,3100,0,930,3410,16275,,
30,30,41,16,30,46,33,64,2258,2255,2256,2257,2257,2256,2257,2259,10,1377,4031,4807,3100,0,930,3370,16238,,
9,25,54,9,30,54,46,40,2257,2256,2258,2257,2256,2257,2258,2259,18,1377,4031,4652,3101,0,930,3370,16084,,
15,23,33,61,25,58,25,38,2255,2261,2258,2257,2256,2257,2257,2257,22,1377,3721,4652,3101,0,930,3370,15774,,
25,18,58,25,27,50,9,41,2258,2257,2258,2257,2257,2252,2261,2259,22,1377,3721,4652,3101,0,930,3370,15774,,
10,23,53,33,33,46,23,41,2258,2258,2257,2252,2258,2256,2263,2257,21,1377,3876,4652,3101,0,930,3370,15929,,
25,25,18,0,45,58,61,27,2257,2255,2251,2257,2258,2257,2255,2258,32,1377,3721,4652,3101,0,930,3370,15774,,
25,18,9,16,46,45,41,41,2258,2257,2258,2257,2250,2260,2256,2259,33,1377,3876,4652,3101,0,930,3370,15929,,
25,30,30,18,41,50,10,72,2257,2258,2258,2257,2256,2257,2258,2256,2,1377,3876,4652,3101,0,930,3370,15929,,
33,18,36,33,41,58,15,33,2258,2257,2259,2261,2256,2256,2257,2256,0,1377,3876,4652,3101,0,930,3370,15929,,
18,30,63,50,45,45,0,0,2257,2252,2259,2257,2256,2256,2257,2257,12,1377,3876,4652,3101,0,930,3370,15929,,
18,30,41,9,18,46,18,72,2258,2256,2256,2257,2257,2257,2257,2257,0,1377,3876,4497,3101,0,930,3370,15774,,
38,27,41,28,38,41,23,63,2258,2258,2257,2262,2257,2257,2257,2255,0,1377,3876,4652,3101,0,930,3370,15929,,
25,35,40,16,50,25,9,70,2257,2257,2255,2258,2255,2257,2256,2258,32,1377,3876,4652,3101,0,930,3410,15969,,
27,30,33,16,50,23,23,66,2258,2256,2257,2262,2258,2256,2255,2254,33,1377,3876,4652,3101,0,930,3410,15969,,
23,18,46,25,50,18,63,9,2256,2256,2257,2257,2259,2258,2253,2254,33,1377,3876,4650,3101,0,930,3410,15967,,
18,16,41,23,53,41,69,18,2257,2257,2257,2256,2258,2256,2256,2258,26,1377,3876,4652,3101,0,930,3410,15969,,
25,0,41,9,50,41,75,16,2257,2256,2259,2258,2256,2256,2260,2257,20,1377,3876,4652,3101,0,930,3410,15969,,
25,16,36,23,50,33,69,23,2258,2257,2259,2258,2257,2252,2254,2257,17,1377,3876,4652,3101,0,930,3410,15969,,
45,36,25,33,36,10,25,33,2257,2257,2256,2258,2259,2257,2256,2253,5,1377,3876,4652,3101,0,930,3410,15969,,
72,15,8,46,38,46,30,30,2257,2258,2257,2257,2257,2258,2256,2255,33,1377,3876,4652,3101,0,930,3410,15969,,
66,41,25,58,72,41,33,35,2258,2258,2258,2257,2256,2258,2257,2257,31,1377,4185,4960,3255,0,1085,3410,16895,,
64,50,54,63,21,25,66,50,2259,2256,2256,2256,2257,2254,2259,2258,12,1377,4338,5268,3253,0,1084,3451,17394,,
72,71,38,42,33,33,33,75,2257,2256,2256,2258,2260,2258,2255,2254,13,1377,4338,5423,3253,0,1084,3451,17549,,
92,75,36,36,0,33,27,81,2255,2258,2257,2257,2252,2257,2257,2258,32,1377,4646,5575,3407,0,1239,3491,18358,,
50,57,46,41,45,23,50,63,2258,2257,2258,2257,2256,2258,2257,2259,6,1377,4646,5730,3407,0,1239,3491,18513,,
46,30,50,33,69,36,36,46,2256,2255,2259,2259,2258,2257,2258,2259,6,1377,4646,5730,3407,0,1239,3491,18513,,
