Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess,
144,"0,00532","0,030617","0,001637","0,007157",0,"44,73041",0,0,"2,909422","24,101019","2,0895",
145,"0,005488","0,030278","0,003331","0,006236",0,"45,33331",0,0,"2,649069","24,090528","1,972437",
146,"0,00541","0,031034","0,001937","0,005449",0,"43,830252",0,0,"2,536535","24,954796","1,983166",
147,"0,005466","0,031353","0,001761","0,006133",0,"44,712842",0,0,"3,270149","24,413109","2,014637",
148,"0,005343","0,03131","0,004041","0,00559",0,"46,283423",0,0,"3,141403","24,603605","1,970768",
149,"0,005258","0,030821","0,001671","0,00654",0,"44,289756",0,0,"2,303362","25,156021","1,816511",
150,"0,005338","0,030463","0,001747","0,005724",0,"43,271993",0,0,"2,856255","24,069071","1,965761",
151,"0,006576","0,030704","0,002321","0,005284",0,"44,885169",0,0,"3,049374","23,765326","2,239466",
152,"0,006383","0,033759","0,001698","0,007806",0,"49,645137",0,0,"3,258944","26,323318","2,521515",
153,"0,005292","0,032655","0,00147","0,005187",0,"44,603333",0,0,"2,921343","26,022196","2,043486",
154,"0,005275","0,03147","0,00218","0,005196",0,"44,11999",0,0,"2,531528","24,677992","1,861572",
155,"0,005266","0,030723","0,001958","0,005033",0,"42,979695",0,0,"2,776146","23,853779","2,170324",
156,"0,005328","0,031717","0,001836","0,00711",0,"45,991061",0,0,"3,390074","24,614334","2,027512",
157,"0,005323","0,031139","0,001665","0,006403",0,"44,530979",0,0,"3,609657","23,85354","1,950741",
158,"0,00537","0,031367","0,00345","0,005171",0,"45,358048",0,0,"2,916813","24,436712","2,383947",
159,"0,005275","0,032923","0,001879","0,006067",0,"46,144631",0,0,"2,740383","24,528503","3,594398",
160,"0,005277","0,032723","0,00166","0,005442",0,"45,102071",0,0,"3,302097","25,889635","1,960754",
161,"0,005274","0,038554","0,004736","0,005848",0,"54,411377",0,0,"2,986193","25,86174","5,347967",
162,"0,005345","0,036598","0,006721","0,006261",1,"54,925281","6,721315",0,"2,936602","26,011705","4,333019",
163,"0,005293","0,038167","0,007526","0,012465",1,"63,451296","7,525726",0,"4,817486","24,350405","6,074667",
164,"0,005634","0,033897","0,006787","0,00695",1,"53,267721","6,786726",0,"2,46644","24,036646","4,193544",
165,"0,005336","0,036144","0,004915","0,006256",1,"52,651382","4,91495",0,"3,60465","25,482178","4,389763",
166,"0,005318","0,034763","0,00644","0,006217",1,"52,737495","6,439994",0,"2,381802","24,956226","4,453897",
167,"0,005645","0,033336","0,00713","0,006593",1,"52,703191","7,129585",0,"2,212524","24,154186","3,689766",
168,"0,005387","0,034562","0,018518","0,008354",3,"66,820788","6,172571",0,"2,346277","24,214029","4,696846",
169,"0,005314","0,033055","0,006203","0,008116",3,"52,687734","2,067739",0,"2,275467","23,899555","4,050493",
170,"0,005345","0,033092","0,006661","0,006914",3,"52,011935","2,220448",0,"2,288342","24,029016","3,827095",
171,"0,005396","0,033806","0,006352","0,006318",3,"51,871641","2,11732",0,"2,802134","24,194717","3,89576",
172,"0,005377","0,033494","0,008597","0,007086",3,"54,553557","2,865644",0,"2,247334","24,27721","3,849983",
173,"0,005473","0,034458","0,017549","0,006848",3,"64,327006","5,849606",0,"3,599405","23,753881","3,828764",
174,"0,006488","0,034734","0,006705","0,006465",3,"54,392143","2,235062",0,"2,524376","24,110317","3,664255",
175,"0,005494","0,034263","0,005739","0,006623",3,"52,117667","1,912886",0,"4,161835","22,967815","4,319906",
176,"0,006889","0,033552","0,005758","0,006441",3,"52,640949","1,919436",0,"3,626347","23,664713","3,581524",
177,"0,005493","0,033748","0,031979","0,008107",3,"79,327002","10,659784",0,"3,49474","23,896933","3,475428",
178,"0,006218","0,038198","0,006817","0,006847",3,"58,0803","2,272312",0,"4,752159","23,824215","6,883621",
179,"0,007109","0,033266","0,005917","0,006591",3,"52,882909","1,972387",0,"2,683163","24,317265","3,530025",
180,"0,005339","0,033519","0,015853","0,008273",3,"62,983922","5,284168",0,"3,668547","23,555994","3,521204",
181,"0,005855","0,03257","0,029992","0,008349",3,"76,764708","9,99717",0,"2,450943","23,491383","3,864527",
182,"0,006083","0,036275","0,016546","0,007798",3,"66,701967","5,515386",0,"2,322435","23,134708","8,095503",
183,"0,007918","0,034052","0,029679","0,008888",3,"80,537189","9,892889",0,"2,411366","24,065495","4,619122",
184,"0,007177","0,037406","0,006884","0,006818",3,"58,285779","2,29483",0,"2,281189","22,892475","9,005547",
185,"0,005346","0,033661","0,032724","0,009495",3,"81,22585","10,907953",0,"2,699137","23,714304","3,877401",
186,"0,005828","0,040354","0,006784","0,009857",3,"62,822379","2,261399",0,"3,813028","23,412466","9,618998",
187,"0,00602","0,03781","0,019929","0,006839",3,"70,598898","6,643072",0,"3,852606","24,614811","5,15914",
188,"0,005894","0,034294","0,008215","0,01466",3,"63,06293","2,738279",0,"2,610683","24,221897","4,38571",
189,"0,005399","0,03357","0,020855","0,007467",3,"67,290882","6,951723",0,"3,119469","23,590088","3,869057",
190,"0,006494","0,03704","0,01403","0,007691",3,"65,255452","4,676809",0,"5,836964","24,136066","4,027128",
191,"0,006015","0,035108","0,009876","0,008641",3,"59,64032","3,291983",0,"2,280951","25,036573","4,267454",
192,"0,005306","0,036342","0,006697","0,007992",3,"56,336593","2,232342",0,"3,991842","24,364233","4,289627",
193,"0,006066","0,035274","0,009668","0,00894",3,"59,947722","3,222754",0,"3,098965","24,665833","4,200935",
194,"0,005524","0,037311","0,020118","0,007428",3,"70,38049","6,706061",0,"5,685568","24,213552","3,916979",
195,"0,005596","0,034621","0,013937","0,006927",3,"61,080943","4,645565",0,"2,154112","24,382114","4,16708",
196,"0,005732","0,034513","0,006146","0,006858",3,"53,250599","2,048827",0,"2,049923","24,543047","4,421234",
197,"0,005322","0,035301","0,018107","0,007194",3,"65,92402","6,035639",0,"3,476143","24,868488","3,881693",
198,"0,006195","0,034557","0,006131","0,006925",3,"53,808186","2,043674",0,"2,254248","24,878263","4,127741",
199,"0,00538","0,034973","0,006407","0,006601",3,"53,361226","2,135592",0,"2,469063","25,53463","3,805161",
200,"0,007521","0,035208","0,007085","0,007099",3,"56,912801","2,361744",0,"3,836632","24,586439","3,822327",
201,"0,005822","0,035321","0,00726","0,006876",3,"55,278923","2,419964",0,"4,179001","24,548054","3,686905",
202,"0,005722","0,038077","0,017376","0,007431",3,"68,605806","5,792078",0,"5,810499","24,22452","4,054546",
203,"0,007296","0,035363","0,006968","0,007915",3,"57,541975","2,322788",0,"2,907515","23,882627","5,490541",
204,"0,006002","0,035009","0,006525","0,007808",3,"55,343631","2,1749",0,"2,652645","24,391651","4,669428",
205,"0,006879","0,035853","0,032598","0,009396",3,"84,725583","10,865882",0,"2,323866","25,779963","4,240036",
206,"0,005398","0,038529","0,017675","0,008187",3,"69,788183","5,891655",0,"2,543449","23,950338","8,039474",
207,"0,005781","0,038162","0,016832","0,007637",2,"68,412104","8,415821",0,"3,336906","26,546717","4,181623",
208,"0,006693","0,036069","0,006426","0,008225",2,"57,413044","3,21318",0,"2,260208","25,144577","4,943371",
