Frame,Captura,Procesamiento,Tracking(ms),Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms)
887,"0,006675","0,052413","75,405582","0,080289",80,"214,781933","0,94257"
888,"0,010205","0,064112","94,450988","0,022232",80,"191,000897","1,180637"
889,"0,011872","0,05658","69,903066","0,076768",78,"215,123421","0,896193"
890,"0,008929","0,054726","73,132795","0,068129",78,"204,917691","0,9376"
891,"0,009353","0,058867","83,568488","0,055672",76,"207,460891","1,099585"
892,"0,005834","0,050642","84,493751","0,066047",76,"207,016934","1,11176"
893,"0,00556","0,076261","79,140681","0,08171",78,"242,670916","1,014624"
894,"0,008856","0,05462","88,969336","0,046208",79,"198,652768","1,126194"
895,"0,00663","0,078768","58,815372","0,033733",79,"177,946897","0,744498"
896,"0,01165","0,073494","52,396617","0,037591",78,"175,131618","0,671752"
897,"0,005818","0,055696","56,71069","0,038086",79,"156,310449","0,717857"
898,"0,005412","0,085597","52,387368","0,044527",78,"187,923781","0,671633"
899,"0,014342","0,081148","61,058909","0,037195",78,"193,744298","0,782807"
900,"0,007729","0,066768","53,476672","0,042064",79,"170,038403","0,67692"
901,"0,006487","0,092168","55,205623","0,042606",80,"196,467059","0,69007"
902,"0,008504","0,073541","59,267043","0,036856",80,"178,168124","0,740838"
903,"0,009966","0,056044","54,270504","0,038562",80,"158,842383","0,678381"
904,"0,008213","0,080852","52,884354","0,035086",78,"177,03581","0,678005"
905,"0,011584","0,083981","52,74265","0,03688",79,"185,187226","0,667628"
906,"0,007927","0,048663","51,184588","0,046872",79,"154,646621","0,647906"
907,"0,008337","0,039725","52,859392","0,038751",78,"139,672202","0,677685"
908,"0,006516","0,041524","51,430649","0,038652",78,"138,123038","0,659367"
909,"0,006797","0,039164","54,281287","0,035551",76,"135,793992","0,714227"
910,"0,006002","0,048583","53,73982","0,039916",76,"148,24105","0,707103"
911,"0,007791","0,03746","68,502674","0,044921",77,"158,675143","0,889645"
912,"0,006767","0,039879","66,700119","0,058266",77,"171,612686","0,866235"
913,"0,009098","0,043732","70,947149","0,071563",77,"195,340569","0,921392"
914,"0,008123","0,04021","84,112994","0,056782",77,"189,228676","1,092377"
915,"0,008102","0,038755","74,139246","0,058281",76,"179,277906","0,975516"
916,"0,014875","0,038683","73,719928","0,062955",76,"190,233302","0,969999"
917,"0,010234","0,036206","78,188537","0,042824",76,"167,452542","1,028797"
918,"0,00533","0,040572","63,826503","0,048486",77,"158,214414","0,828916"
919,"0,012392","0,034734","59,436139","0,035511",78,"142,073699","0,762002"
920,"0,012155","0,037309","53,150286","0,03961",75,"142,223304","0,70867"
