Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS
171,"0,005345","0,015921","0,007066","0,00631",3,"34,642175","2,355364",0
172,"0,00557","0,019922","0,007304","0,007765",3,"40,56127","2,434589",0
173,"0,008036","0,016153","0,007409","0,006877",3,"38,475412","2,469823",0
174,"0,005916","0,018676","0,007045","0,006825",3,"38,461234","2,348334",0
175,"0,0075","0,01746","0,006206","0,006651",3,"37,817428","2,068673",0
176,"0,007015","0,017764","0,005538","0,00632",3,"36,636989","1,846146",0
177,"0,005807","0,017709","0,006302","0,007444",3,"37,261082","2,10059",0
178,"0,007169","0,015861","0,005729","0,007021",3,"35,779475","1,909604",0
179,"0,006445","0,018552","0,006339","0,006633",3,"37,969882","2,113017",0
180,"0,006519","0,017952","0,008524","0,009472",3,"42,467279","2,841168",0
181,"0,006612","0,016805","0,007664","0,008033",3,"39,113905","2,554552",0
182,"0,006025","0,017561","0,006809","0,007843",3,"38,236872","2,269622",0
183,"0,006395","0,021168","0,00647","0,007664",3,"41,698441","2,156763",0
184,"0,006823","0,016206","0,005996","0,006738",3,"35,762962","1,998782",0
185,"0,007966","0,018116","0,005338","0,007253",3,"38,672989","1,779326",0
186,"0,006655","0,016487","0,008832","0,011019",3,"42,993065","2,944096",0
187,"0,006219","0,016285","0,007633","0,007818",3,"37,95401","2,544184",0
188,"0,005458","0,019884","0,005869","0,008885",3,"40,096543","1,956476",0
189,"0,005891","0,015073","0,00663","0,009199",3,"36,793252","2,209885",0
190,"0,00611","0,017028","0,008503","0,00914",3,"40,780898","2,834288",0
191,"0,006564","0,017534","0,007976","0,009473",3,"41,54826","2,658824",0
192,"0,005413","0,015271","0,005956","0,01147",3,"38,110465","1,985459",0
193,"0,006976","0,016054","0,008083","0,008514",3,"39,626634","2,694388",0
194,"0,006017","0,017853","0,006361","0,007249",3,"37,4801","2,12042",0
195,"0,005629","0,017111","0,006829","0,006611",3,"36,180071","2,276267",0
196,"0,006324","0,019681","0,005977","0,007459",3,"39,441088","1,992222",0
197,"0,006505","0,020289","0,005846","0,00743",3,"40,069503","1,948753",0
198,"0,005724","0,015082","0,007795","0,007276",3,"35,87596","2,598192",0
199,"0,00545","0,017971","0,007341","0,006436",3,"37,198648","2,446985",0
