Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess,,Captura,Procesamiento,Tracking,Escritura
92,"0,010269","0,020986","0,003032","0,008422",0,0,0,8,"5,128145","9,485483","3,446579",,,,,
93,"0,009929","0,0211","0,002677","0,007895",0,0,0,9,"6,086111","8,588314","3,346443",,,,,
94,"0,009981","0,022707","0,0022","0,008422",0,0,0,8,"6,63805","9,622097","3,088474",,,,,
95,"0,010661","0,02154","0,003399","0,007896",0,0,0,8,"6,163359","10,037899","3,001213",,,,,
96,"0,009985","0,019307","0,002684","0,01239",0,0,0,8,"4,726648","8,56781","2,966166",,,,,
97,"0,011953","0,019073","0,009146","0,012915",0,0,0,8,"4,923344","8,412361","3,512383",,,,,
98,"0,01059","0,018752","0,004017","0,012218",0,0,0,7,"4,462004","8,653879","2,848148",,,,,
99,"0,009946","0,019911","0,008086","0,009473",0,0,0,8,"5,744696","8,775473","3,097296",,,,,
100,"0,010052","0,021062","0,002847","0,0094",0,0,0,7,"4,406214","10,008335","3,129482",,,,,
101,"0,010105","0,018754","0,002364","0,009668",0,0,0,9,"5,057812","8,464336","2,93231",,,,,
102,"0,010046","0,021262","0,002198","0,008567",0,0,0,7,"7,655382","8,516312","2,82979",,,,,
103,"0,010331","0,018538","0,002758","0,008223",0,0,0,8,"4,845858","8,612156","2,782345",,,,,
104,"0,01035","0,018406","0,002644","0,011612",0,0,0,8,"4,746199","8,585453","2,92778",,,,,
105,"0,011988","0,019865","0,002607","0,010371",0,0,0,8,"4,911423","8,63719","3,923416",,,,,
106,"0,010201","0,018843","0,002671","0,008191",0,0,0,8,"5,048037","8,488417","3,041744",,,,,
107,"0,012156","0,01854","0,002748","0,009614",0,0,0,9,"4,84252","8,445501","3,018618",,,,,
108,"0,010571","0,018663","0,002927","0,014357",0,0,0,9,"4,961252","8,464098","2,871752",,,,,
109,"0,009969","0,017782","0,002853","0,015214",0,0,0,10,"4,198551","8,44717","2,919912",,,,,
110,"0,012879","0,017975","0,005336","0,009135",0,0,0,10,"3,963232","8,48031","3,120184",,,,,
111,"0,00992","0,023014","0,002647","0,009649",0,0,0,10,"7,440805","8,484364","3,2444",,,,,
112,"0,009902","0,018914","0,002511","0,008767",0,0,0,10,"4,457474","8,574724","3,282547",,,,,
113,"0,01003","0,019388","0,004089","0,009435",0,0,0,12,"4,868746","8,539438","3,463507",,,,,
114,"0,010027","0,01884","0,002587","0,010371",0,0,0,33,"4,421711","8,445263","2,945662",,,,,
115,"0,009988","0,019116","0,003027","0,010306",0,0,0,35,"5,027056","8,506298","3,151178",,,,,
116,"0,010133","0,022121","0,002071","0,008476",0,0,0,37,"7,820129","8,558273","3,25346",,,,,
117,"0,010164","0,021857","0,002656","0,008693",0,0,0,38,"6,15406","8,607388","3,64399",,,,,
118,"0,009985","0,019575","0,002468","0,009911",0,0,0,44,"4,994154","8,612394","3,160715",,,,,
119,"0,010007","0,018873","0,002606","0,010434",0,0,0,49,"4,823923","8,500814","3,214598",,,,,
120,"0,009899","0,019086","0,002876","0,013014",0,0,0,44,"4,790545","8,641243","3,215313",,,,,
121,"0,009907","0,021522","0,005311","0,012096",0,0,0,43,"5,51033","9,621143","3,431797",,,,,
122,"0,009962","0,021715","0,001933","0,008814",0,0,0,29,"7,312298","8,563519","3,514051",,,,,
123,"0,010733","0,019995","0,001887","0,009749",0,0,0,17,"6,228447","8,486748","3,063679",,,,,
124,"0,009932","0,019541","0,001855","0,012198",0,0,0,14,"3,819704","8,505821","2,928019",,,,,
125,"0,009999","0,020155","0,001901","0,01019",0,0,0,12,"3,633976","9,653568","3,804684",,,,,
126,"0,009962","0,018925","0,002366","0,010455",0,0,0,12,"3,798246","8,449554","3,240824",,,,,
127,"0,010254","0,019167","0,002441","0,008452",0,0,0,13,"5,023479","8,685112","3,052235",,,,,
128,"0,010143","0,019158","0,002591","0,009094",0,0,0,11,"5,337477","8,454561","3,194809",,,,,
129,"0,011714","0,019719","0,002515","0,012364",0,0,0,12,"5,803823","8,461714","3,100872",,,,,
130,"0,01014","0,020902","0,002674","0,010359",0,0,0,13,"5,091429","10,12826","3,113985",,,,,
131,"0,010151","0,018819","0,002626","0,009641",0,0,0,13,"4,784822","8,536577","3,125668",,,,,
132,"0,015508","0,018905","0,003627","0,011648",0,0,0,10,"5,162477","8,520603","3,028393",,,,,
133,"0,010972","0,019011","0,004408","0,01652",0,0,0,10,"4,167318","8,47435","3,094673",,,,,
134,"0,010176","0,019429","0,002293","0,009782",0,0,0,10,"4,568338","8,534193","3,295898",,,,,
135,"0,010218","0,020002","0,002821","0,009014",0,0,0,10,"5,069256","9,329081","3,212214",,,,,
136,"0,010002","0,018802","0,002634","0,008492",0,0,0,8,"5,026579","8,543015","2,891779",,,,,
137,"0,010092","0,018531","0,002355","0,010281",0,0,0,8,"4,738569","8,575201","3,02124",,,,,
138,"0,010015","0,018414","0,002675","0,008902",0,0,0,8,"4,582882","8,497715","3,068209",,,,,
139,"0,010067","0,020018","0,002581","0,008867",0,0,0,9,"5,780458","8,839846","3,132105",,,,,
140,"0,010093","0,019933","0,002596","0,00868",0,0,0,8,"5,874157","8,783102","3,015041",,,,,
