Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess
84,"0,010832","0,013645","0,000588","0,005663",0,0,0,0,"2,177","6,550789","2,540588"
85,"0,006399","0,014552","0,000672","0,006354",0,0,0,0,"2,232313","7,863045","2,047777"
86,"0,005318","0,015016","0,001585","0,004274",0,0,0,0,"2,880573","7,598639","1,955509"
87,"0,00539","0,015884","0,000689","0,00327",0,0,0,0,"2,482891","8,945227","2,068758"
88,"0,005344","0,013693","0,00054","0,004327",0,0,0,0,"2,102375","7,170916","1,98102"
89,"0,005449","0,013863","0,000583","0,005534",0,0,0,0,"2,117872","7,445097","1,883268"
90,"0,00544","0,013969","0,00054","0,004377",0,0,0,0,"2,547741","6,981134","1,957655"
91,"0,005873","0,013499","0,001707","0,003645",0,0,0,0,"2,136469","7,107019","1,937389"
92,"0,005495","0,014158","0,001495","0,005231",0,0,0,0,"2,271652","7,54571","1,965761"
93,"0,005522","0,013483","0,00074","0,005662",0,0,0,0,"2,416372","6,845951","1,914501"
94,"0,006446","0,01318","0,001509","0,004204",0,0,0,0,"2,027512","6,855726","1,96147"
95,"0,007703","0,016134","0,000608","0,00359",0,0,0,0,"2,832413","7,304668","2,075911"
96,"0,006696","0,014108","0,001509","0,00638",0,0,0,0,"2,386808","7,330656","2,078056"
97,"0,00564","0,013288","0,000667","0,005359",0,0,0,0,"2,481222","6,164789","1,864433"
98,"0,005423","0,012573","0,000644","0,005308",0,0,0,0,"2,238274","5,791187","2,227545"
99,"0,006024","0,013602","0,000534","0,00422",0,0,0,0,"2,146006","6,97279","1,943827"
100,"0,006122","0,014491","0,000818","0,004932",0,0,0,0,"2,148151","7,915974","1,928091"
101,"0,007017","0,013873","0,000719","0,004467",0,0,0,0,"2,058983","6,855011","2,367496"
102,"0,005336","0,012556","0,001359","0,004726",0,0,0,0,"1,834869","5,933762","2,470493"
103,"0,005754","0,01343","0,000602","0,003562",0,0,0,0,"1,90711","7,052183","1,847267"
104,"0,005337","0,014421","0,000583","0,006045",0,0,0,0,"2,118826","7,213116","2,013206"
