Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess
94,"0,005749","0,015873","0,003578","0,005134",0,0,0,0,"4,645586","6,788254","1,912355"
95,"0,007502","0,017777","0,001908","0,005257",0,0,0,0,"5,024195","7,583141","2,311707"
96,"0,005286","0,014589","0,001849","0,008113",0,0,0,0,"4,325151","6,67119","2,052307"
97,"0,00557","0,014891","0,001454","0,006879",0,0,0,0,"4,259348","5,951166","3,222466"
98,"0,005428","0,01302","0,003573","0,006111",0,0,0,0,"3,971338","5,79524","1,718283"
99,"0,005385","0,013743","0,002053","0,005654",0,0,0,0,"2,766848","7,375956","2,164841"
100,"0,005663","0,012974","0,001716","0,006299",0,0,0,0,"2,754927","6,654739","1,898527"
101,"0,006489","0,013422","0,003396","0,005542",0,0,0,0,"3,004551","6,623507","2,390623"
102,"0,005475","0,012835","0,0048","0,00617",0,0,0,0,"2,684593","6,555557","2,058268"
103,"0,006687","0,012578","0,002505","0,005209",0,0,0,0,"2,95496","5,867481","1,90711"
104,"0,006197","0,014283","0,003911","0,007251",0,0,0,0,"3,035307","7,213831","1,835108"
105,"0,005295","0,014661","0,004115","0,00749",0,0,0,0,"3,883839","6,317854","2,466202"
106,"0,005324","0,014947","0,002122","0,005126",0,0,0,0,"2,846718","8,209229","2,248049"
107,"0,005546","0,014674","0,002104","0,006014",0,0,0,0,"3,228664","7,404089","1,983881"
108,"0,005427","0,014504","0,001744","0,007618",0,0,0,0,"2,989769","7,700443","1,893044"
109,"0,005351","0,012901","0,004144","0,011874",0,0,0,0,"3,136635","5,79977","2,503395"
110,"0,00559","0,01225","0,005202","0,005605",0,0,0,0,"2,814293","5,826473","1,902819"
111,"0,005343","0,015156","0,001773","0,006169",0,0,0,0,"4,632235","7,241488","1,843214"
112,"0,00528","0,014791","0,002315","0,005749",0,0,0,0,"4,034758","7,264137","1,959324"
113,"0,005298","0,012955","0,001657","0,006064",0,0,0,0,"2,240419","7,418394","1,722574"
114,"0,005316","0,012443","0,004204","0,005516",0,0,0,0,"2,913952","6,112337","1,80912"
115,"0,006682","0,013372","0,001583","0,006275",0,0,0,0,"2,261639","6,761789","2,364874"
116,"0,005925","0,013173","0,00168","0,005492",0,0,0,0,"3,268003","6,138563","2,285957"
117,"0,007187","0,013425","0,001698","0,005363",0,0,0,0,"3,400326","6,211042","2,264023"
118,"0,007357","0,014485","0,001659","0,005526",0,0,0,0,"3,251076","7,678032","2,128124"
119,"0,00527","0,012423","0,002938","0,006718",0,0,0,0,"3,038406","5,979538","1,869202"
120,"0,005356","0,014037","0,00174","0,008717",0,0,0,0,"4,456282","5,843163","2,180338"
121,"0,005413","0,012342","0,002262","0,006981",0,0,0,0,"3,006697","5,707741","1,972437"
122,"0,005401","0,01555","0,00168","0,005293",0,0,0,0,"3,695965","7,941008","2,179146"
123,"0,005327","0,012613","0,002064","0,005956",0,0,0,0,"2,943516","6,402731","1,873016"
124,"0,005315","0,013419","0,002941","0,00582",0,0,0,0,"2,549648","6,539583","2,647161"
125,"0,005283","0,014142","0,001954","0,005962",0,0,0,0,"3,979445","6,456614","2,254963"
126,"0,006964","0,013324","0,003821","0,007276",0,0,0,0,"3,346443","6,307125","2,181053"
127,"0,00529","0,012479","0,0045","0,005816",0,0,0,0,"2,465487","6,267309","1,753092"
128,"0,005286","0,012923","0,004567","0,005736",0,0,0,0,"3,070593","6,17981","2,135754"
129,"0,005296","0,013878","0,001882","0,00866",0,0,0,0,"2,830029","7,580757","1,996756"
130,"0,005233","0,011639","0,001548","0,00619",0,0,0,0,"2,201796","5,785227","1,832008"
131,"0,00614","0,014901","0,00121","0,005827",0,0,0,0,"3,84903","7,071972","2,454042"
132,"0,005562","0,013758","0,002607","0,00719",0,0,0,0,"2,369642","6,446362","1,744509"
133,"0,005488","0,013277","0,002352","0,008314",0,0,0,0,"2,887726","6,270885","2,118349"
134,"0,006012","0,014225","0,00205","0,006086",0,0,0,0,"2,721548","7,084608","2,292395"
135,"0,005455","0,013205","0,002528","0,005675",0,0,0,0,"2,346277","6,796837","2,000332"
136,"0,005295","0,013682","0,001614","0,005328",0,0,0,0,"3,240347","6,957531","1,846075"
137,"0,006402","0,01238","0,002228","0,006279",0,0,0,0,"3,111362","6,07729","1,758337"
138,"0,00637","0,015435","0,002097","0,006484",0,0,0,0,"3,059149","7,389307","1,754999"
139,"0,006239","0,012877","0,001608","0,005714",0,0,0,0,"3,487349","6,168127","1,802683"
140,"0,005892","0,013733","0,001775","0,005452",0,0,0,0,"3,035545","6,928921","2,298355"
141,"0,005285","0,012735","0,001765","0,005183",0,0,0,0,"3,057241","6,348372","1,963377"
142,"0,005314","0,012485","0,001595","0,006393",0,0,0,0,"3,172874","5,804062","1,878262"
143,"0,005461","0,014192","0,001964","0,005977",0,0,0,0,"3,308773","7,573128","1,91617"
144,"0,005367","0,013244","0,001648","0,007168",0,0,0,0,"3,662586","6,197453","1,858234"
145,"0,005645","0,015168","0,001713","0,006335",0,0,0,0,"3,798246","8,097172","1,860142"
146,"0,005331","0,013375","0,00169","0,005671",0,0,0,0,"2,865791","7,196426","1,875162"
147,"0,005625","0,012331","0,001545","0,005889",0,0,0,0,"3,319979","5,692244","1,765013"
148,"0,00576","0,012772","0,001279","0,006356",0,0,0,0,"2,6896","6,510258","1,811028"
149,"0,005228","0,014707","0,004579","0,006467",0,0,0,0,"4,269838","6,952763","1,905441"
150,"0,005816","0,014998","0,002092","0,0052",0,0,0,0,"2,257347","7,645845","2,543688"
151,"0,005272","0,013843","0,001644","0,005297",0,0,0,0,"2,673864","7,334709","1,892805"
152,"0,005302","0,017145","0,001602","0,005244",0,0,0,0,"2,796173","8,5814","2,130747"
153,"0,005412","0,012271","0,001907","0,005198",0,0,0,0,"2,873898","5,928278","2,005577"
154,"0,006016","0,01276","0,001428","0,005263",0,0,0,0,"2,865553","5,770206","2,607346"
155,"0,006177","0,014471","0,002305","0,005197",0,0,0,0,"5,062103","5,733967","2,214909"
156,"0,005646","0,01516","0,001665","0,007617",0,0,0,0,"3,843546","7,112503","2,715349"
157,"0,005307","0,013329","0,001802","0,006485",0,0,0,0,"3,596783","6,026268","2,227545"
158,"0,005266","0,013964","0,001788","0,005412",0,0,0,0,"3,146648","7,458687","1,755953"
159,"0,005446","0,014706","0,001787","0,005597",0,0,0,0,"3,561735","7,444859","1,862288"
160,"0,005413","0,013549","0,00286","0,005669",0,0,0,0,"3,813028","5,784273","2,305031"
161,"0,005237","0,02123","0,005418","0,006597",0,0,0,0,"5,026817","6,849766","5,993843"
162,"0,005327","0,018368","0,006629","0,007194",1,0,0,0,"2,112865","6,001234","6,966352"
163,"0,005394","0,017209","0,005805","0,006361",1,0,0,0,"2,50721","7,71904","4,189968"
164,"0,005249","0,01943","0,006055","0,006609",1,0,0,0,"3,97253","8,25572","4,703999"
165,"0,005312","0,017334","0,010731","0,007177",1,0,0,0,"4,204512","6,152153","4,093409"
166,"0,005259","0,01759","0,007556","0,006183",1,0,0,0,"2,277851","8,095503","4,484415"
167,"0,005633","0,018333","0,008332","0,007695",1,0,0,0,"3,832579","6,17528","4,319191"
168,"0,006749","0,016568","0,010194","0,010997",3,0,0,0,"2,399683","6,99687","4,036903"
169,"0,005556","0,019245","0,007319","0,008198",3,0,0,0,"4,536629","6,599426","5,009413"
170,"0,005482","0,016979","0,005876","0,006906",3,0,0,0,"2,765179","7,043839","4,002333"
171,"0,005305","0,016006","0,006211","0,006536",3,0,0,0,"2,386093","5,780458","4,293919"
172,"0,005486","0,016224","0,00648","0,006501",3,0,0,0,"2,477407","6,115675","3,941059"
173,"0,005743","0,018188","0,006194","0,007012",3,0,0,0,"2,683163","7,072926","4,298925"
174,"0,00813","0,01581","0,006634","0,006781",3,0,0,0,"2,143145","5,808353","4,590034"
175,"0,005674","0,018021","0,006062","0,006667",3,0,0,0,"2,341747","7,383585","4,717827"
176,"0,006124","0,016022","0,006424","0,006486",3,0,0,0,"2,424479","5,912542","4,43697"
177,"0,006326","0,018085","0,00558","0,007188",3,0,0,0,"3,76749","5,707026","4,871845"
178,"0,006051","0,01702","0,00567","0,009071",3,0,0,0,"2,378225","5,820751","4,481316"
179,"0,005914","0,016462","0,008186","0,008014",3,0,0,0,"2,591133","5,861998","4,216194"
180,"0,005276","0,017957","0,006509","0,007769",3,0,0,0,"2,656937","6,377459","5,678177"
181,"0,006099","0,018544","0,008945","0,007951",3,0,0,0,"3,427744","6,767988","4,374027"
182,"0,005995","0,017721","0,005816","0,008495",3,0,0,0,"2,559185","7,693768","3,784657"
183,"0,005682","0,018667","0,008426","0,008324",3,0,0,0,"3,423452","7,221937","3,641605"
184,"0,005473","0,016611","0,00824","0,008534",3,0,0,0,"3,892183","6,165266","3,553629"
185,"0,006745","0,016139","0,010207","0,006873",3,0,0,0,"2,490282","7,056236","3,548861"
186,"0,00581","0,019058","0,005985","0,007376",3,0,0,0,"5,660295","6,178141","3,665924"
187,"0,006566","0,01777","0,009904","0,009136",3,0,0,0,"2,722025","6,132841","4,584312"
188,"0,005444","0,016989","0,012391","0,008171",3,0,0,0,"2,146959","8,019686","3,350019"
189,"0,005672","0,020831","0,006183","0,007181",3,0,0,0,"2,766848","9,572029","5,176067"
190,"0,005978","0,015431","0,006761","0,007796",3,0,0,0,"3,011703","5,810261","3,446579"
191,"0,006335","0,016459","0,005596","0,007141",3,0,0,0,"2,963543","5,880594","4,019976"
192,"0,005648","0,015387","0,008206","0,008887",3,0,0,0,"2,680779","5,779028","3,608227"
193,"0,007431","0,016731","0,007273","0,008174",3,0,0,0,"2,741337","6,991386","3,465652"
194,"0,007256","0,016952","0,006578","0,008029",3,0,0,0,"2,774","5,918503","3,582716"
195,"0,007358","0,014721","0,008182","0,007682",3,0,0,0,"2,178907","6,039381","3,484488"
196,"0,006667","0,016201","0,007847","0,008913",3,0,0,0,"2,578259","6,733656","3,662348"
197,"0,007365","0,016078","0,00671","0,007329",3,0,0,0,"2,934933","6,6607","3,55196"
198,"0,005623","0,018985","0,009179","0,007521",3,0,0,0,"2,63381","7,983923","3,784418"
199,"0,005384","0,018959","0,008113","0,006626",3,0,0,0,"2,280951","6,244898","7,492781"
200,"0,010018","0,017476","0,006337","0,00851",3,0,0,0,"2,624273","7,95269","3,756523"
201,"0,005495","0,014843","0,006353","0,00694",3,0,0,0,"2,383709","5,823851","3,573418"
202,"0,005577","0,016164","0,005612","0,007735",3,0,0,0,"2,897501","6,796837","3,624439"
203,"0,005731","0,015555","0,008405","0,007356",3,0,0,0,"2,631426","5,949259","3,911734"
204,"0,006537","0,020011","0,005412","0,009064",3,0,0,0,"3,105402","7,782459","4,920006"
