Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total (ms),Tiempo por Objeto Tracking (ms),Preprocess,Inference,Postprocess,Frames Per Second
57,"0,005822","0,020959","0,005320","0,006394",9,"38,493904","0,591115","2,253771","8,891821","4,050493",
58,"0,005339","0,021773","0,005358","0,006632",9,"39,102820","0,595389","2,319574","5,902529","4,157782",
58,"0,005339","0,021773","0,005358","0,006632",9,"39,102820","0,595389","2,319574","5,902529","4,157782",
59,"0,005323","0,019332","0,006202","0,006879",9,"37,735627","0,689107","3,673077","6,142616","3,745317",
59,"0,005323","0,019332","0,006202","0,006879",9,"37,735627","0,689107","3,673077","6,142616","3,745317",
60,"0,006367","0,018025","0,005447","0,008413",9,"38,251545","0,605217","2,391577","5,982161","3,579855",
60,"0,006367","0,018025","0,005447","0,008413",9,"38,251545","0,605217","2,391577","5,982161","3,579855",
61,"0,005506","0,021532","0,006595","0,006629",9,"40,262414","0,732831","2,264261","7,785082","4,990816",
61,"0,005506","0,021532","0,006595","0,006629",9,"40,262414","0,732831","2,264261","7,785082","4,990816",
62,"0,005473","0,019851","0,006115","0,012138",9,"43,577178","0,679478","2,305269","5,828619","3,819466",
62,"0,005473","0,019851","0,006115","0,012138",9,"43,577178","0,679478","2,305269","5,828619","3,819466",
63,"0,005563","0,017509","0,005273","0,009011",9,"37,356775","0,585927","2,334118","5,827427","3,768682",
63,"0,005563","0,017509","0,005273","0,009011",9,"37,356775","0,585927","2,334118","5,827427","3,768682",
64,"0,005366","0,020744","0,005163","0,006715",9,"37,987905","0,573677","2,656937","6,926298","4,793882",
64,"0,005366","0,020744","0,005163","0,006715",9,"37,987905","0,573677","2,656937","6,926298","4,793882",
65,"0,006441","0,022837","0,006192","0,007692",9,"43,161107","0,687952","2,677679","6,890774","3,531218",
65,"0,006441","0,022837","0,006192","0,007692",9,"43,161107","0,687952","2,677679","6,890774","3,531218",
66,"0,006074","0,020914","0,005201","0,009621",9,"41,809528","0,577840","2,485752","7,901907","4,149437",
66,"0,006074","0,020914","0,005201","0,009621",9,"41,809528","0,577840","2,485752","7,901907","4,149437",
67,"0,005247","0,023375","0,006496","0,006380",9,"41,498399","0,721797","2,715588","6,038189","5,188465",
67,"0,005247","0,023375","0,006496","0,006380",9,"41,498399","0,721797","2,715588","6,038189","5,188465",
68,"0,005422","0,020798","0,006051","0,006663",9,"38,932789","0,672285","2,102852","5,997181","5,604744",
68,"0,005422","0,020798","0,006051","0,006663",9,"38,932789","0,672285","2,102852","5,997181","5,604744",
69,"0,005604","0,020487","0,005192","0,009348",9,"40,630574","0,576859","2,269268","5,796671","5,506277",
69,"0,005604","0,020487","0,005192","0,009348",9,"40,630574","0,576859","2,269268","5,796671","5,506277",
70,"0,005400","0,020168","0,006280","0,006569",9,"38,417576","0,697812","2,228498","6,003380","3,837109",
70,"0,005400","0,020168","0,006280","0,006569",9,"38,417576","0,697812","2,228498","6,003380","3,837109",
71,"0,005403","0,019002","0,005330","0,006229",9,"35,963913","0,592224","2,576351","6,111622","3,721237",
