Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total (ms),Tiempo por Objeto Tracking (ms),Preprocess,Inference,Postprocess
140,"0,005773","0,033514","0,000847","0,004166",0,"44,300360","0,000000","2,641201","26,229143","2,154589"
141,"0,006785","0,023070","0,000631","0,004952",0,"35,438507","0,000000","3,678560","12,813330","3,919840"
142,"0,007290","0,015566","0,000621","0,005070",0,"28,546991","0,000000","2,136230","8,177519","2,122641"
143,"0,005432","0,033158","0,000850","0,005463",0,"44,904132","0,000000","3,228426","24,738312","2,198219"
144,"0,005941","0,019941","0,000612","0,006118",0,"32,611658","0,000000","3,367424","12,696266","1,682281"
145,"0,010594","0,032420","0,000619","0,005607",0,"49,238701","0,000000","2,074003","25,640965","2,187252"
146,"0,007885","0,021933","0,000640","0,004435",0,"34,893010","0,000000","4,835606","11,691809","2,054691"
147,"0,005385","0,033695","0,000620","0,005605",0,"45,305141","0,000000","2,171516","27,363062","1,718760"
148,"0,009408","0,024940","0,000613","0,005362",0,"40,322191","0,000000","4,365444","13,566971","4,188538"
149,"0,009805","0,013611","0,000662","0,006394",0,"30,473155","0,000000","2,216339","5,770922","2,088070"
150,"0,005355","0,033742","0,000686","0,003812",0,"43,594567","0,000000","3,508806","26,137114","1,823664"
151,"0,006114","0,024572","0,000636","0,004551",0,"35,872705","0,000000","3,708601","13,851881","4,120588"
152,"0,005361","0,013848","0,002120","0,003773",0,"25,101357","0,000000","2,179861","5,732775","2,015829"
153,"0,011915","0,034941","0,000652","0,004830",0,"52,337596","0,000000","2,452612","25,427103","2,077103"
154,"0,007936","0,023903","0,000891","0,005276",0,"38,006371","0,000000","2,982855","7,679224","2,886295"
155,"0,005377","0,016288","0,001276","0,004600",0,"27,541885","0,000000","2,982855","7,679224","2,886295"
156,"0,005308","0,033448","0,000620","0,007028",0,"46,404489","0,000000","2,702951","25,413990","2,001524"
157,"0,005486","0,021651","0,000572","0,006045",0,"33,753535","0,000000","4,675150","12,006044","2,377272"
158,"0,006752","0,014279","0,000659","0,003937",0,"25,626950","0,000000","2,645731","5,923033","3,192186"
159,"0,005275","0,033488","0,000829","0,004877",0,"44,469581","0,000000","3,254414","25,489092","2,330303"
160,"0,007771","0,021392","0,001082","0,004120",0,"34,364475","0,000000","5,063295","12,450695","1,603842"
161,"0,009061","0,033930","0,000584","0,005371",0,"48,946334","0,000000","2,155066","25,421858","2,161264"
162,"0,005455","0,031587","0,001487","0,004641",0,"43,168723","0,000000","3,257751","13,833761","7,010698"
163,"0,008683","0,040896","0,004122","0,005893",1,"59,593646","4,121503","2,322197","24,594784","6,282568"
164,"0,007199","0,030333","0,002851","0,005514",1,"45,896817","2,851204","6,344557","12,286663","5,064487"
165,"0,005474","0,016345","0,002517","0,005461",1,"29,796871","2,517013","2,130985","5,794048","4,396439"
166,"0,007288","0,043527","0,002745","0,004798",1,"58,357170","2,744511","5,468369","27,089357","5,327702"
167,"0,010329","0,031579","0,003164","0,006286",1,"51,358608","3,164243","2,340317","5,910873","5,506277"
168,"0,005388","0,019081","0,004059","0,006527",2,"35,055225","2,029470","2,340317","5,910873","5,506277"
169,"0,007503","0,045242","0,006241","0,007562",3,"66,547916","2,080224","5,708218","27,000189","5,347729"
170,"0,005771","0,033853","0,004196","0,005387",3,"49,206249","1,398774","3,154993","12,010336","11,291981"
171,"0,006177","0,040377","0,004055","0,006292",3,"56,900524","1,351604","2,131224","25,840521","5,213499"
172,"0,007631","0,029670","0,003812","0,005353",3,"46,467177","1,270779","3,873587","12,816668","4,979372"
173,"0,008671","0,052261","0,004815","0,006460",3,"72,206962","1,604992","2,876759","26,838303","5,909443"
174,"0,009073","0,035901","0,004057","0,005278",3,"54,308437","1,352191","3,117561","12,447834","10,612011"
175,"0,005326","0,023183","0,005021","0,006127",3,"39,657614","1,673784","2,468586","9,047270","4,138231"
176,"0,009464","0,046308","0,003613","0,004967",3,"64,352741","1,204216","3,066540","26,471138","5,176067"
177,"0,007609","0,035175","0,003339","0,006381",3,"52,504161","1,113107","3,717899","12,536049","8,083582"
178,"0,009616","0,046054","0,003788","0,006756",3,"66,214491","1,262768","2,970457","28,535366","5,451679"
179,"0,010296","0,032761","0,003774","0,006276",3,"53,106365","1,257936","4,583359","13,558149","7,006645"
180,"0,009616","0,043424","0,003405","0,006392",3,"62,837504","1,135071","6,568432","7,939816","9,894371"
181,"0,005592","0,039302","0,003527","0,007421",3,"55,841435","1,175617","4,526854","24,128914","3,869534"
182,"0,010580","0,033999","0,003589","0,007010",3,"55,177180","1,196173","2,141237","6,214142","6,987572"
183,"0,005458","0,048277","0,003540","0,007150",3,"64,424745","1,180076","2,814770","23,660421","7,261992"
184,"0,007973","0,021712","0,003273","0,005493",3,"38,450964","1,091037","3,481865","8,760452","4,418850"
185,"0,005868","0,040790","0,003854","0,006405",3,"56,916876","1,284795","2,737045","25,633574","5,068541"
186,"0,008921","0,033073","0,003726","0,005819",3,"51,539380","1,242031","3,381491","13,707161","7,409096"
187,"0,006335","0,038039","0,003705","0,007137",3,"55,215710","1,234937","3,352880","6,076813","4,579067"
188,"0,006169","0,038219","0,003851","0,006323",3,"54,561374","1,283611","3,371477","23,977995","4,979134"
189,"0,005437","0,036464","0,003354","0,007382",3,"52,637574","1,118153","2,203941","5,959272","4,710197"
190,"0,005539","0,038619","0,003508","0,006781",3,"54,447354","1,169409","2,372742","24,058104","4,763842"
191,"0,006766","0,042966","0,003441","0,008183",3,"61,355770","1,146912","4,198074","6,297112","8,825541"
192,"0,005365","0,038655","0,003788","0,006643",3,"54,450459","1,262586","3,531218","23,835659","4,237413"
193,"0,007755","0,037724","0,003107","0,007750",3,"56,335281","1,035621","4,657745","7,848740","11,459827"
194,"0,005451","0,036768","0,003768","0,006179",3,"52,166512","1,256037","2,292871","24,106503","4,995346"
195,"0,007086","0,038753","0,003196","0,006599",3,"55,634257","1,065457","4,354000","9,057522","11,929512"
196,"0,008143","0,038274","0,003826","0,005839",3,"56,082214","1,275195","4,127502","24,272919","4,269361"
197,"0,005316","0,036091","0,003492","0,006840",3,"51,739005","1,164065","2,650738","6,766796","4,290104"
198,"0,006194","0,042974","0,003676","0,005732",3,"58,576666","1,225283","3,027678","23,718596","3,965139"
199,"0,005294","0,020631","0,004918","0,005925",3,"36,767913","1,639361","3,121138","7,298946","4,122257"
