Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total (ms),Tiempo por Objeto Tracking (ms),Preprocess,Inference,Postprocess,FPS
87,"0,005358","0,012278","0,000787","0,004084",0,"22,505963",0,"2,185106","5,77569","1,931429",
88,"0,006948","0,012333","0,000604","0,004428",0,"24,312785",0,"2,220154","5,760431","1,95837",
89,"0,005342","0,012437","0,001327","0,003876",0,"22,982422",0,"2,155542","5,865574","1,930952",
90,"0,005449","0,015299","0,000629","0,005113",0,"26,490591",0,"2,233505","7,171631","2,173662",
91,"0,005405","0,012535","0,000618","0,004793",0,"23,35075",0,"2,187729","5,859375","1,963377",
92,"0,006436","0,01369","0,001663","0,00423",0,"26,019734",0,"3,488541","5,783319","1,848221",
93,"0,006117","0,013567","0,000733","0,003703",0,"24,120334",0,"2,115011","6,883383","1,94931",
94,"0,006972","0,012304","0,001399","0,004513",0,"25,188035",0,"2,182245","5,76663","1,915693",
95,"0,005367","0,012298","0,000655","0,0039",0,"22,22036",0,"2,257586","5,836964","1,887798",
96,"0,005418","0,012379","0,000683","0,006122",0,"24,601367",0,"2,245188","5,822897","1,949549",
97,"0,005337","0,01235","0,001315","0,006512",0,"25,514731",0,"2,27046","5,836487","1,947165",
98,"0,005415","0,012596","0,000702","0,005679",0,"24,391251",0,"2,384186","5,847454","2,0051",
99,"0,005402","0,012243","0,002652","0,004645",0,"24,942528",0,"2,156734","5,769253","1,799822",
100,"0,005321","0,0138","0,000649","0,00531",0,"25,080034",0,"3,353357","5,832911","1,904964",
101,"0,005313","0,013851","0,001031","0,00406",0,"24,254033",0,"2,196074","5,955458","1,944304",
102,"0,005331","0,016709","0,001363","0,00406",0,"27,463507",0,"2,975941","8,23307","2,880812",
103,"0,005346","0,013098","0,000689","0,004997",0,"24,129071",0,"2,991676","5,92494","1,916647",
104,"0,007521","0,012998","0,000556","0,005398",0,"26,473085",0,"2,667189","5,801201","2,058268",
105,"0,005418","0,012411","0,001928","0,00511",0,"24,867164",0,"2,262592","5,813837","1,991034",
106,"0,005365","0,012454","0,000656","0,00467",0,"23,146264",0,"2,170801","5,885839","1,928806",
107,"0,005321","0,012525","0,000654","0,004742",0,"23,241308",0,"2,233744","5,970716","1,920938",
108,"0,005378","0,014521","0,001305","0,007284",0,"28,487817",0,"2,51627","5,944014","2,064943",
