02-05-2025 10:57:58 RAM 11810/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [9%@2264,0%@2261,9%@2265,0%@2263,8%@2259,0%@2264,0%@2264,18%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50C thermal@48.9C Tboard@48C AO@47.5C GPU@49C Tdiode@50.75C PMIC@50C GPU 2641mW/2842mW CPU 2797mW/4563mW SOC 2797mW/2969mW CV 0mW/-56mW VDDRQ 466mW/606mW SYS5V 3480mW/3525mW
02-05-2025 10:57:58 RAM 11813/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [23%@2264,9%@2262,16%@2263,9%@2264,18%@2264,0%@2264,23%@2265,33%@2266] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50C thermal@48.9C Tboard@48C AO@47.5C GPU@49C Tdiode@50.75C PMIC@50C GPU 2486mW/2827mW CPU 2797mW/4486mW SOC 2797mW/2962mW CV 0mW/-53mW VDDRQ 466mW/599mW SYS5V 3480mW/3523mW
02-05-2025 10:57:58 RAM 11814/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [8%@2264,7%@2265,9%@2261,18%@2264,16%@2264,33%@2263,0%@2264,33%@2263] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50C thermal@48.9C Tboard@48C AO@47.5C GPU@49C Tdiode@50.75C PMIC@50C GPU 2641mW/2819mW CPU 2797mW/4416mW SOC 2797mW/2955mW CV 0mW/-51mW VDDRQ 466mW/594mW SYS5V 3480mW/3521mW
02-05-2025 10:57:58 RAM 11815/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [8%@2264,16%@2264,0%@2264,9%@2267,9%@2262,0%@2260,33%@2268,16%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@49.5C thermal@48.9C Tboard@48C AO@47.5C GPU@49C Tdiode@50.75C PMIC@50C GPU 2486mW/2806mW CPU 2797mW/4351mW SOC 2797mW/2949mW CV 0mW/-49mW VDDRQ 466mW/589mW SYS5V 3480mW/3520mW
02-05-2025 10:57:58 RAM 11819/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [27%@2264,9%@2265,9%@2263,0%@2266,16%@2263,0%@2264,16%@2264,0%@2264] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50C thermal@48.9C Tboard@48C AO@47.5C GPU@49C Tdiode@50.75C PMIC@50C GPU 2641mW/2799mW CPU 2797mW/4291mW SOC 2797mW/2943mW CV 0mW/-47mW VDDRQ 466mW/584mW SYS5V 3480mW/3518mW
02-05-2025 10:57:58 RAM 11821/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [8%@2266,0%@2263,18%@2264,9%@2265,15%@2261,0%@2266,25%@2266,16%@2258] EMC_FREQ 6%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@49.5C thermal@48.9C Tboard@48C AO@48C GPU@49C Tdiode@50.75C PMIC@50C GPU 2641mW/2793mW CPU 2641mW/4230mW SOC 2797mW/2937mW CV 0mW/-45mW VDDRQ 466mW/580mW SYS5V 3480mW/3517mW
02-05-2025 10:57:58 RAM 11824/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [18%@2264,8%@2263,23%@2267,9%@2262,9%@2264,0%@2263,18%@2264,9%@2264] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@49.5C thermal@48.9C Tboard@48C AO@47.5C GPU@49C Tdiode@50.75C PMIC@50C GPU 2486mW/2782mW CPU 2641mW/4173mW SOC 2797mW/2932mW CV -310mW/-55mW VDDRQ 466mW/576mW SYS5V 3480mW/3515mW
02-05-2025 10:57:59 RAM 11827/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [23%@2263,8%@2265,23%@2264,10%@2264,8%@2264,0%@2264,25%@2263,18%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.75C Tboard@48C AO@47.5C GPU@49C Tdiode@50.75C PMIC@50C GPU 2641mW/2778mW CPU 2641mW/4120mW SOC 2797mW/2928mW CV 0mW/-53mW VDDRQ 466mW/572mW SYS5V 3480mW/3514mW
02-05-2025 10:57:59 RAM 11828/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [38%@2261,0%@2264,10%@2264,16%@2261,10%@2264,15%@2262,50%@2264,33%@2264] EMC_FREQ 6%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50C thermal@48.75C Tboard@48C AO@47.5C GPU@49C Tdiode@50.75C PMIC@50C GPU 2641mW/2773mW CPU 2797mW/4076mW SOC 2797mW/2923mW CV 0mW/-51mW VDDRQ 466mW/568mW SYS5V 3480mW/3513mW
02-05-2025 10:57:59 RAM 11830/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [42%@2264,15%@2261,10%@2264,9%@2263,25%@2265,0%@2262,0%@2264,9%@2259] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50C thermal@48.75C Tboard@48C AO@47.5C GPU@49C Tdiode@50.5C PMIC@50C GPU 2486mW/2764mW CPU 2797mW/4035mW SOC 2952mW/2924mW CV 0mW/-50mW VDDRQ 465mW/565mW SYS5V 3480mW/3512mW
02-05-2025 10:57:59 RAM 11833/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [9%@2265,8%@2263,0%@2264,0%@2259,15%@2263,25%@2264,0%@2267,8%@2263] EMC_FREQ 6%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@49.5C thermal@48.75C Tboard@48C AO@47.5C GPU@49C Tdiode@50.5C PMIC@50C GPU 2641mW/2760mW CPU 2641mW/3991mW SOC 2952mW/2925mW CV 0mW/-48mW VDDRQ 466mW/562mW SYS5V 3480mW/3511mW
02-05-2025 10:57:59 RAM 11837/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [9%@2264,9%@2262,23%@2264,9%@2263,16%@2263,0%@2264,16%@2258,33%@2262] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50C thermal@48.75C Tboard@48C AO@47.5C GPU@49C Tdiode@50.5C PMIC@50C GPU 2486mW/2752mW CPU 2641mW/3950mW SOC 2797mW/2921mW CV 0mW/-46mW VDDRQ 466mW/559mW SYS5V 3480mW/3510mW
02-05-2025 10:57:59 RAM 11839/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [10%@2264,33%@2263,10%@2263,9%@2265,8%@2264,0%@2263,9%@2264,8%@2263] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@50C thermal@48.75C Tboard@48C AO@47.5C GPU@49C Tdiode@50.5C PMIC@50C GPU 2641mW/2748mW CPU 2640mW/3912mW SOC 2952mW/2922mW CV 0mW/-45mW VDDRQ 465mW/556mW SYS5V 3480mW/3509mW
02-05-2025 10:57:59 RAM 11840/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [0%@2264,18%@2265,9%@2264,0%@2264,16%@2264,0%@2264,8%@2263,15%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 31%@[1377] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@49.5C thermal@48.75C Tboard@48C AO@47.5C GPU@49C Tdiode@50.75C PMIC@50C GPU 2641mW/2745mW CPU 2640mW/3876mW SOC 2797mW/2918mW CV 0mW/-44mW VDDRQ 465mW/553mW SYS5V 3480mW/3508mW
02-05-2025 10:57:59 RAM 11842/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [18%@2262,27%@2264,9%@2258,16%@2264,9%@2263,0%@2263,8%@2262,8%@2263] EMC_FREQ 6%@2133 GR3D_FREQ 3%@[1377] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@49.5C thermal@48.75C Tboard@48C AO@47.5C GPU@49C Tdiode@50.75C PMIC@50C GPU 2486mW/2738mW CPU 2641mW/3841mW SOC 2797mW/2915mW CV 0mW/-43mW VDDRQ 465mW/551mW SYS5V 3480mW/3507mW
02-05-2025 10:58:00 RAM 11844/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [36%@2263,16%@2264,18%@2264,0%@2263,9%@2264,9%@2263,16%@2264,0%@2261] EMC_FREQ 6%@2133 GR3D_FREQ 28%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@49.5C thermal@48.75C Tboard@48C AO@47.5C GPU@49C Tdiode@50.5C PMIC@50C GPU 2640mW/2735mW CPU 2640mW/3809mW SOC 2951mW/2916mW CV 0mW/-41mW VDDRQ 465mW/549mW SYS5V 3480mW/3507mW
02-05-2025 10:58:00 RAM 11846/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [38%@2264,0%@2263,9%@2264,0%@2263,30%@2257,28%@2264,9%@2263,0%@2257] EMC_FREQ 6%@2133 GR3D_FREQ 8%@[1377] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@49.5C thermal@48.75C Tboard@48C AO@47.5C GPU@49C Tdiode@50.5C PMIC@50C GPU 2486mW/2729mW CPU 2486mW/3774mW SOC 2797mW/2913mW CV 0mW/-40mW VDDRQ 466mW/546mW SYS5V 3480mW/3506mW
02-05-2025 10:58:00 RAM 11849/30991MB (lfb 72x4MB) SWAP 9/15495MB (cached 0MB) CPU [38%@2264,0%@2265,23%@2259,28%@2261,18%@2266,0%@2264,8%@2258,0%@2270] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 1036 APE 150 AUX@48C CPU@49.5C thermal@48.75C Tboard@48C AO@47.5C GPU@49C Tdiode@50.5C PMIC@50C GPU 2641mW/2726mW CPU 2486mW/3741mW SOC 2952mW/2914mW CV 0mW/-39mW VDDRQ 466mW/544mW SYS5V 3480mW/3505mW
