02-18-2025 09:08:08 RAM 10015/30991MB (lfb 2040x4MB) SWAP 1/15495MB (cached 0MB) CPU [15%@2264,0%@2264,25%@2264,100%@2272,0%@2264,7%@2263,0%@2264,8%@2263] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50C thermal@49.4C Tboard@48C AO@48C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 466mW/500mW CPU 3107mW/4353mW SOC 2641mW/2779mW CV 0mW/-56mW VDDRQ 310mW/443mW SYS5V 3360mW/3421mW
02-18-2025 09:08:08 RAM 9920/30991MB (lfb 2064x4MB) SWAP 1/15495MB (cached 0MB) CPU [9%@2264,15%@2264,8%@2261,92%@2264,15%@2263,8%@2265,7%@2264,0%@2263] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50C thermal@49.4C Tboard@48C AO@47.5C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 466mW/498mW CPU 2952mW/4292mW SOC 2641mW/2773mW CV 0mW/-53mW VDDRQ 310mW/438mW SYS5V 3360mW/3419mW
02-18-2025 09:08:08 RAM 9953/30991MB (lfb 2055x4MB) SWAP 1/15495MB (cached 0MB) CPU [27%@2263,8%@2257,0%@2266,90%@2264,25%@2262,18%@2263,27%@2264,30%@2263] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50.5C thermal@49.4C Tboard@48C AO@47.5C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 466mW/497mW CPU 3261mW/4249mW SOC 2797mW/2774mW CV 0mW/-51mW VDDRQ 465mW/439mW SYS5V 3360mW/3416mW
02-18-2025 09:08:08 RAM 9993/30991MB (lfb 2045x4MB) SWAP 1/15495MB (cached 0MB) CPU [15%@2263,0%@2264,0%@2264,100%@2264,8%@2263,7%@2264,0%@2261,0%@2262] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50C thermal@49.4C Tboard@48C AO@47.5C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 466mW/496mW CPU 3107mW/4203mW SOC 2641mW/2769mW CV 0mW/-49mW VDDRQ 310mW/434mW SYS5V 3360mW/3414mW
02-18-2025 09:08:08 RAM 10034/30991MB (lfb 2035x4MB) SWAP 1/15495MB (cached 0MB) CPU [25%@2264,0%@2264,0%@2264,100%@2262,0%@2263,8%@2262,27%@2264,16%@2263] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50.5C thermal@48.95C Tboard@48C AO@47.5C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 466mW/495mW CPU 3263mW/4167mW SOC 2641mW/2764mW CV 0mW/-47mW VDDRQ 310mW/429mW SYS5V 3360mW/3412mW
02-18-2025 09:08:08 RAM 9936/30991MB (lfb 2060x4MB) SWAP 1/15495MB (cached 0MB) CPU [27%@2264,30%@2263,16%@2265,92%@2263,9%@2263,16%@2264,53%@2263,30%@2263] EMC_FREQ 3%@2133 GR3D_FREQ 43%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51C thermal@48.95C Tboard@48C AO@47.5C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 621mW/499mW CPU 3572mW/4145mW SOC 2795mW/2765mW CV 0mW/-45mW VDDRQ 465mW/430mW SYS5V 3360mW/3410mW
02-18-2025 09:08:08 RAM 9980/30991MB (lfb 2049x4MB) SWAP 1/15495MB (cached 0MB) CPU [7%@2264,0%@2263,8%@2263,100%@2263,15%@2263,7%@2264,0%@2263,0%@2262] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50C thermal@48.95C Tboard@48C AO@47.5C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 466mW/498mW CPU 3263mW/4113mW SOC 2797mW/2766mW CV 0mW/-44mW VDDRQ 310mW/426mW SYS5V 3360mW/3408mW
02-18-2025 09:08:09 RAM 10023/30991MB (lfb 2039x4MB) SWAP 1/15495MB (cached 0MB) CPU [9%@2264,7%@2264,0%@2264,100%@2264,0%@2263,0%@2264,0%@2264,0%@2266] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50C thermal@48.95C Tboard@48C AO@47.5C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 466mW/497mW CPU 3107mW/4079mW SOC 2641mW/2762mW CV 0mW/-42mW VDDRQ 310mW/422mW SYS5V 3360mW/3406mW
02-18-2025 09:08:09 RAM 9932/30991MB (lfb 2062x4MB) SWAP 1/15495MB (cached 0MB) CPU [23%@2264,25%@2266,15%@2263,91%@2263,16%@2263,16%@2263,16%@2263,25%@2262] EMC_FREQ 3%@2133 GR3D_FREQ 54%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51C thermal@48.95C Tboard@48C AO@48C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 621mW/501mW CPU 3261mW/4051mW SOC 2797mW/2763mW CV 0mW/-41mW VDDRQ 465mW/423mW SYS5V 3360mW/3405mW
02-18-2025 09:08:09 RAM 9974/30991MB (lfb 2051x4MB) SWAP 1/15495MB (cached 0MB) CPU [7%@2264,0%@2262,0%@2263,100%@2270,8%@2270,0%@2261,8%@2263,25%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50C thermal@48.95C Tboard@48C AO@47.5C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 466mW/500mW CPU 3263mW/4026mW SOC 2797mW/2764mW CV -310mW/-50mW VDDRQ 310mW/420mW SYS5V 3360mW/3403mW
02-18-2025 09:08:09 RAM 10018/30991MB (lfb 2040x4MB) SWAP 1/15495MB (cached 0MB) CPU [0%@2262,0%@2264,0%@2263,100%@2262,0%@2263,21%@2264,0%@2262,0%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50C thermal@48.95C Tboard@48C AO@47.5C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 466mW/499mW CPU 3107mW/3997mW SOC 2641mW/2760mW CV -310mW/-58mW VDDRQ 310mW/416mW SYS5V 3360mW/3402mW
02-18-2025 09:08:09 RAM 9926/30991MB (lfb 2063x4MB) SWAP 1/15495MB (cached 0MB) CPU [8%@2265,25%@2263,31%@2264,84%@2263,9%@2263,8%@2264,9%@2262,15%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48C CPU@50.5C thermal@48.95C Tboard@48C AO@48C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 466mW/498mW CPU 3107mW/3970mW SOC 2797mW/2761mW CV 0mW/-56mW VDDRQ 466mW/418mW SYS5V 3360mW/3401mW
02-18-2025 09:08:09 RAM 9970/30991MB (lfb 2052x4MB) SWAP 1/15495MB (cached 0MB) CPU [8%@2264,0%@2263,100%@2264,9%@2261,14%@2261,15%@2264,30%@2263,8%@2262] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48C CPU@50C thermal@48.95C Tboard@48C AO@47.5C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 466mW/497mW CPU 3263mW/3949mW SOC 2797mW/2762mW CV 0mW/-54mW VDDRQ 466mW/419mW SYS5V 3360mW/3400mW
02-18-2025 09:08:09 RAM 10014/30991MB (lfb 2041x4MB) SWAP 1/15495MB (cached 0MB) CPU [15%@2264,8%@2263,100%@2264,0%@2265,8%@2259,7%@2264,15%@2264,0%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48C CPU@49.5C thermal@48.6C Tboard@48C AO@47.5C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 466mW/496mW CPU 3107mW/3925mW SOC 2641mW/2759mW CV 0mW/-53mW VDDRQ 310mW/416mW SYS5V 3360mW/3398mW
02-18-2025 09:08:09 RAM 9922/30991MB (lfb 2064x4MB) SWAP 1/15495MB (cached 0MB) CPU [8%@2265,8%@2263,100%@2263,15%@2264,0%@2264,0%@2263,15%@2259,15%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@49.5C thermal@48.6C Tboard@48C AO@47.5C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 466mW/495mW CPU 2952mW/3898mW SOC 2641mW/2756mW CV 0mW/-51mW VDDRQ 310mW/413mW SYS5V 3320mW/3396mW
02-18-2025 09:08:10 RAM 9957/30991MB (lfb 2055x4MB) SWAP 1/15495MB (cached 0MB) CPU [16%@2263,35%@2257,91%@2262,23%@2262,8%@2264,8%@2264,0%@2261,27%@2263] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48C CPU@50C thermal@48.6C Tboard@48C AO@47.5C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 466mW/494mW CPU 3263mW/3881mW SOC 2797mW/2757mW CV -310mW/-58mW VDDRQ 466mW/414mW SYS5V 3360mW/3395mW
02-18-2025 09:08:10 RAM 10000/30991MB (lfb 2044x4MB) SWAP 1/15495MB (cached 0MB) CPU [15%@2264,8%@2263,100%@2263,0%@2264,8%@2262,8%@2262,0%@2262,0%@2263] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48C CPU@49.5C thermal@48.6C Tboard@48C AO@47.5C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 466mW/494mW CPU 3107mW/3861mW SOC 2641mW/2754mW CV 0mW/-57mW VDDRQ 310mW/412mW SYS5V 3360mW/3394mW
02-18-2025 09:08:10 RAM 10043/30991MB (lfb 2033x4MB) SWAP 1/15495MB (cached 0MB) CPU [0%@2264,7%@2263,100%@2260,0%@2262,8%@2264,8%@2263,7%@2262,7%@2263] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48C CPU@49.5C thermal@48.6C Tboard@48C AO@47.5C GPU@48.5C Tdiode@50.75C PMIC@50C GPU 466mW/493mW CPU 2952mW/3837mW SOC 2641mW/2751mW CV 0mW/-55mW VDDRQ 310mW/409mW SYS5V 3320mW/3392mW
