02-07-2025 09:41:28 RAM 7964/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2265,0%@2257,7%@2264,33%@2264,30%@2260,9%@2264,0%@2263,69%@2262] EMC_FREQ 13%@2133 GR3D_FREQ 55%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.7C Tboard@47C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2328mW/2002mW CPU 3414mW/4680mW SOC 3259mW/3214mW CV -310mW/-84mW VDDRQ 931mW/902mW SYS5V 3600mW/3589mW
02-07-2025 09:41:28 RAM 7966/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [20%@2263,18%@1189,0%@1189,0%@1187,14%@1190,0%@1190,13%@1190,35%@1190] EMC_FREQ 17%@1600 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@48C thermal@47.7C Tboard@47C AO@46C GPU@47C Tdiode@49.25C PMIC@50C GPU 2018mW/2002mW CPU 2950mW/4605mW SOC 3105mW/3209mW CV 0mW/-80mW VDDRQ 776mW/896mW SYS5V 3560mW/3587mW
02-07-2025 09:41:28 RAM 7966/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2263,7%@1190,7%@1192,0%@1189,0%@1190,0%@1187,0%@1190,0%@1190] EMC_FREQ 15%@1600 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@48C thermal@47.25C Tboard@47C AO@46C GPU@47C Tdiode@49.25C PMIC@50C GPU 1553mW/1984mW CPU 2330mW/4510mW SOC 2797mW/3192mW CV 0mW/-77mW VDDRQ 776mW/891mW SYS5V 3480mW/3583mW
02-07-2025 09:41:28 RAM 7966/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [13%@2264,0%@1189,0%@1189,0%@1190,6%@1190,13%@1190,7%@1190,0%@1190] EMC_FREQ 14%@1600 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@48C thermal@47.25C Tboard@47C AO@46C GPU@47C Tdiode@49.25C PMIC@50C GPU 1243mW/1954mW CPU 1865mW/4404mW SOC 2642mW/3170mW CV 0mW/-74mW VDDRQ 621mW/880mW SYS5V 3440mW/3577mW
02-07-2025 09:41:29 RAM 7966/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2262,6%@1191,0%@1189,11%@1190,17%@1269,20%@1190,0%@1190,33%@1190] EMC_FREQ 13%@1600 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@48C thermal@47.25C Tboard@47C AO@46C GPU@46.5C Tdiode@49.25C PMIC@50C GPU 933mW/1915mW CPU 1866mW/4307mW SOC 2643mW/3150mW CV 0mW/-71mW VDDRQ 466mW/864mW SYS5V 3400mW/3570mW
02-07-2025 09:41:29 RAM 7966/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [7%@2265,0%@1190,7%@1189,0%@1190,7%@1190,0%@1190,0%@1191,0%@1190] EMC_FREQ 11%@1600 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@47.5C thermal@47.25C Tboard@47C AO@46C GPU@47C Tdiode@49C PMIC@50C GPU 777mW/1873mW CPU 1555mW/4205mW SOC 2488mW/3125mW CV 0mW/-68mW VDDRQ 466mW/850mW SYS5V 3400mW/3564mW
02-07-2025 09:41:29 RAM 7966/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@1190,7%@1190,0%@1190,0%@1190,0%@1190,7%@1190,0%@1188,0%@1189] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@47.5C thermal@47.25C Tboard@47C AO@46C GPU@46.5C Tdiode@49C PMIC@50C GPU 777mW/1833mW CPU 1244mW/4099mW SOC 2333mW/3097mW CV -311mW/-77mW VDDRQ 466mW/836mW SYS5V 3360mW/3557mW
02-07-2025 09:41:29 RAM 7965/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [13%@2264,6%@1190,0%@1190,13%@1192,7%@1189,0%@1189,0%@1189,0%@1190] EMC_FREQ 9%@1600 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@47.5C thermal@47.25C Tboard@47C AO@46C GPU@46.5C Tdiode@49C PMIC@50C GPU 622mW/1792mW CPU 1089mW/3995mW SOC 2333mW/3071mW CV -311mW/-85mW VDDRQ 466mW/823mW SYS5V 3360mW/3550mW
02-07-2025 09:41:29 RAM 7965/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,0%@1190,7%@1188,0%@1190,0%@1190,7%@1190] EMC_FREQ 8%@1600 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@47C thermal@47.25C Tboard@47C AO@46C GPU@46.5C Tdiode@48.75C PMIC@50C GPU 622mW/1753mW CPU 1089mW/3898mW SOC 2333mW/3046mW CV -311mW/-93mW VDDRQ 466mW/811mW SYS5V 3320mW/3542mW
02-07-2025 09:41:29 RAM 7965/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [12%@2264,6%@1190,6%@1189,6%@1276,0%@1190,0%@1188,0%@1186,0%@1190] EMC_FREQ 7%@1600 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46C CPU@47.5C thermal@47.25C Tboard@47C AO@46C GPU@46.5C Tdiode@48.75C PMIC@50C GPU 466mW/1711mW CPU 933mW/3803mW SOC 2333mW/3023mW CV 0mW/-90mW VDDRQ 311mW/795mW SYS5V 3320mW/3535mW
