01-23-2025 10:02:04 RAM 7308/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [30%@2257,84%@2260,41%@2257,50%@2257,66%@2257,23%@2256,23%@2257,28%@2255] EMC_FREQ 12%@2133 GR3D_FREQ 14%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4801mW/4415mW CPU 5420mW/5125mW SOC 3252mW/3203mW CV 0mW/0mW VDDRQ 1084mW/1034mW SYS5V 3451mW/3408mW
01-23-2025 10:02:05 RAM 7309/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [16%@2256,83%@2258,45%@2252,45%@2254,50%@2256,45%@2258,0%@2255,0%@2257] EMC_FREQ 12%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4801mW/4431mW CPU 5265mW/5132mW SOC 3252mW/3206mW CV 0mW/0mW VDDRQ 1084mW/1037mW SYS5V 3451mW/3410mW
01-23-2025 10:02:05 RAM 7310/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [9%@2258,83%@2257,42%@2253,33%@2254,30%@2255,25%@2259,53%@2258,45%@2255] EMC_FREQ 12%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@49.3C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4801mW/4447mW CPU 5265mW/5137mW SOC 3252mW/3207mW CV 0mW/0mW VDDRQ 1084mW/1039mW SYS5V 3451mW/3412mW
01-23-2025 10:02:05 RAM 7310/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [45%@2258,75%@2258,58%@2259,33%@2254,38%@2255,30%@2249,35%@2256,16%@2258] EMC_FREQ 12%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4648mW/4455mW CPU 5265mW/5142mW SOC 3252mW/3209mW CV 0mW/0mW VDDRQ 1084mW/1040mW SYS5V 3451mW/3413mW
01-23-2025 10:02:05 RAM 7313/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [83%@2255,15%@2257,38%@2257,33%@2248,30%@2257,27%@2257,10%@2257,70%@2256] EMC_FREQ 12%@2133 GR3D_FREQ 29%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@49.3C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4648mW/4462mW CPU 5265mW/5147mW SOC 3252mW/3211mW CV 0mW/0mW VDDRQ 1084mW/1042mW SYS5V 3451mW/3415mW
01-23-2025 10:02:05 RAM 7313/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [92%@2258,0%@2257,33%@2256,38%@2253,33%@2256,42%@2253,38%@2260,66%@2257] EMC_FREQ 13%@2133 GR3D_FREQ 26%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@49.3C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4801mW/4475mW CPU 5265mW/5151mW SOC 3252mW/3212mW CV 0mW/0mW VDDRQ 1084mW/1044mW SYS5V 3451mW/3416mW
01-23-2025 10:02:05 RAM 7312/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [80%@2255,15%@2258,41%@2258,33%@2258,38%@2256,33%@2253,54%@2259,38%@2254] EMC_FREQ 13%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@49.3C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4801mW/4486mW CPU 5420mW/5161mW SOC 3252mW/3214mW CV 0mW/0mW VDDRQ 1084mW/1045mW SYS5V 3451mW/3417mW
01-23-2025 10:02:05 RAM 7317/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [15%@2257,16%@2258,45%@2258,50%@2255,83%@2258,27%@2256,72%@2254,33%@2259] EMC_FREQ 13%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@49.3C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53C PMIC@50C GPU 4956mW/4503mW CPU 5420mW/5170mW SOC 3252mW/3215mW CV 0mW/0mW VDDRQ 1084mW/1046mW SYS5V 3451mW/3418mW
01-23-2025 10:02:05 RAM 7317/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [58%@2256,36%@2258,41%@2258,33%@2254,75%@2257,41%@2257,8%@2257,16%@2257] EMC_FREQ 13%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4958mW/4518mW CPU 5420mW/5178mW SOC 3252mW/3216mW CV 0mW/0mW VDDRQ 1084mW/1048mW SYS5V 3451mW/3419mW
01-23-2025 10:02:06 RAM 7317/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [63%@2257,53%@2258,30%@2258,33%@2257,58%@2257,61%@2257,30%@2257,0%@2256] EMC_FREQ 13%@2133 GR3D_FREQ 1%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4801mW/4527mW CPU 5420mW/5186mW SOC 3252mW/3217mW CV 0mW/0mW VDDRQ 1084mW/1049mW SYS5V 3451mW/3420mW
01-23-2025 10:02:06 RAM 7319/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [66%@2255,41%@2256,41%@2255,41%@2258,33%@2258,27%@2258,72%@2253,16%@2256] EMC_FREQ 13%@2133 GR3D_FREQ 29%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.3C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4801mW/4535mW CPU 5420mW/5193mW SOC 3252mW/3218mW CV 0mW/0mW VDDRQ 1084mW/1050mW SYS5V 3451mW/3421mW
