02-19-2025 08:01:33 RAM 8345/30991MB (lfb 4095x4MB) SWAP 0/15495MB (cached 0MB) CPU [61%@2268,30%@2265,53%@2264,63%@2265,15%@2264,81%@2267,53%@2263,41%@2265] EMC_FREQ 12%@2133 GR3D_FREQ 48%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43.5C thermal@41.2C Tboard@40C AO@39.5C GPU@41C Tdiode@42.5C PMIC@50C GPU 1702mW/1498mW CPU 5571mW/5396mW SOC 3249mW/3102mW CV 0mW/-84mW VDDRQ 928mW/899mW SYS5V 3594mW/3559mW
02-19-2025 08:01:33 RAM 8344/30991MB (lfb 4095x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2265,30%@2265,25%@2265,33%@2264,7%@2265,72%@2265,50%@2266,54%@2265] EMC_FREQ 12%@2133 GR3D_FREQ 20%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.2C Tboard@40C AO@39.5C GPU@41C Tdiode@42.5C PMIC@50C GPU 1548mW/1500mW CPU 5418mW/5397mW SOC 3096mW/3102mW CV 0mW/-80mW VDDRQ 928mW/901mW SYS5V 3594mW/3560mW
02-19-2025 08:01:33 RAM 8347/30991MB (lfb 4095x4MB) SWAP 0/15495MB (cached 0MB) CPU [57%@2258,41%@2265,30%@2265,23%@2263,9%@2265,78%@2262,46%@2265,61%@2265] EMC_FREQ 12%@2133 GR3D_FREQ 57%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.2C Tboard@40C AO@39.5C GPU@41C Tdiode@42.75C PMIC@50C GPU 1702mW/1508mW CPU 5263mW/5391mW SOC 3096mW/3102mW CV 0mW/-77mW VDDRQ 928mW/902mW SYS5V 3594mW/3562mW
02-19-2025 08:01:33 RAM 8343/30991MB (lfb 4095x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2265,25%@2265,66%@2264,27%@2265,16%@2265,83%@2265,46%@2265,36%@2265] EMC_FREQ 12%@2133 GR3D_FREQ 2%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.2C Tboard@40C AO@39.5C GPU@41C Tdiode@42.75C PMIC@50C GPU 1702mW/1516mW CPU 5416mW/5392mW SOC 3096mW/3101mW CV 0mW/-74mW VDDRQ 928mW/903mW SYS5V 3594mW/3563mW
02-19-2025 08:01:33 RAM 8345/30991MB (lfb 4095x4MB) SWAP 0/15495MB (cached 0MB) CPU [18%@2267,46%@2265,66%@2265,46%@2265,7%@2265,91%@2266,50%@2265,45%@2265] EMC_FREQ 12%@2133 GR3D_FREQ 49%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43.5C thermal@41.2C Tboard@40C AO@40C GPU@41C Tdiode@42.5C PMIC@50C GPU 1702mW/1523mW CPU 5416mW/5393mW SOC 3249mW/3107mW CV 0mW/-71mW VDDRQ 928mW/904mW SYS5V 3594mW/3564mW
02-19-2025 08:01:33 RAM 8344/30991MB (lfb 4095x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2265,58%@2266,41%@2256,9%@2266,25%@2265,100%@2265,38%@2265,38%@2263] EMC_FREQ 12%@2133 GR3D_FREQ 54%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43.5C thermal@41.2C Tboard@40C AO@39.5C GPU@41C Tdiode@42.5C PMIC@50C GPU 1857mW/1536mW CPU 5571mW/5399mW SOC 3249mW/3112mW CV 0mW/-68mW VDDRQ 928mW/905mW SYS5V 3594mW/3565mW
02-19-2025 08:01:33 RAM 8344/30991MB (lfb 4095x4MB) SWAP 0/15495MB (cached 0MB) CPU [27%@2262,54%@2264,46%@2265,9%@2264,8%@2266,71%@2265,27%@2265,45%@2265] EMC_FREQ 12%@2133 GR3D_FREQ 4%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43.5C thermal@41.2C Tboard@40C AO@39.5C GPU@41C Tdiode@42.75C PMIC@50C GPU 1702mW/1542mW CPU 5416mW/5400mW SOC 3249mW/3117mW CV -309mW/-77mW VDDRQ 928mW/905mW SYS5V 3594mW/3566mW
02-19-2025 08:01:34 RAM 8343/30991MB (lfb 4095x4MB) SWAP 0/15495MB (cached 0MB) CPU [42%@2265,46%@2265,54%@2265,36%@2266,9%@2265,100%@2265,23%@2265,58%@2265] EMC_FREQ 12%@2133 GR3D_FREQ 42%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.2C Tboard@40C AO@39.5C GPU@41C Tdiode@42.75C PMIC@50C GPU 1857mW/1552mW CPU 5416mW/5401mW SOC 3249mW/3122mW CV 0mW/-74mW VDDRQ 928mW/906mW SYS5V 3594mW/3567mW
02-19-2025 08:01:34 RAM 8344/30991MB (lfb 4095x4MB) SWAP 0/15495MB (cached 0MB) CPU [60%@2266,60%@2264,80%@2265,66%@2263,28%@2266,92%@2265,45%@2264,27%@2265] EMC_FREQ 13%@2133 GR3D_FREQ 72%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43.5C thermal@41.2C Tboard@40C AO@39.5C GPU@41C Tdiode@42.5C PMIC@50C GPU 1856mW/1563mW CPU 5723mW/5411mW SOC 3248mW/3126mW CV 0mW/-72mW VDDRQ 928mW/907mW SYS5V 3634mW/3570mW
02-19-2025 08:01:34 RAM 8346/30991MB (lfb 4095x4MB) SWAP 0/15495MB (cached 0MB) CPU [76%@2265,41%@2265,53%@2265,75%@2265,11%@2265,100%@2264,36%@2265,38%@2261] EMC_FREQ 13%@2133 GR3D_FREQ 64%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43.5C thermal@41.2C Tboard@40C AO@39.5C GPU@41C Tdiode@42.5C PMIC@50C GPU 1856mW/1572mW CPU 5878mW/5426mW SOC 3248mW/3130mW CV 0mW/-69mW VDDRQ 1082mW/913mW SYS5V 3634mW/3572mW
02-19-2025 08:01:34 RAM 8344/30991MB (lfb 4095x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2265,41%@2265,38%@2263,45%@2263,23%@2264,100%@2265,23%@2265,61%@2265] EMC_FREQ 13%@2133 GR3D_FREQ 71%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43.5C thermal@41.2C Tboard@40C AO@39.5C GPU@41C Tdiode@42.5C PMIC@50C GPU 1856mW/1581mW CPU 5878mW/5440mW SOC 3248mW/3133mW CV 0mW/-67mW VDDRQ 1082mW/918mW SYS5V 3634mW/3574mW
02-19-2025 08:01:34 RAM 8344/30991MB (lfb 4095x4MB) SWAP 0/15495MB (cached 0MB) CPU [61%@2265,35%@2265,27%@2265,41%@2265,27%@2265,84%@2262,36%@2265,75%@2265] EMC_FREQ 13%@2133 GR3D_FREQ 72%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43.5C thermal@41.2C Tboard@40C AO@39.5C GPU@41C Tdiode@42.5C PMIC@50C GPU 1856mW/1589mW CPU 5878mW/5454mW SOC 3248mW/3137mW CV 0mW/-65mW VDDRQ 1082mW/923mW SYS5V 3634mW/3575mW
