01-28-2025 14:00:29 RAM 9949/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [91%@1188,50%@1187,84%@1188,83%@1187,off,off,off,off] EMC_FREQ 11%@1331 GR3D_FREQ 4%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.45C Tboard@45C AO@44C GPU@44C Tdiode@49.5C PMIC@50C GPU 1399mW/1349mW CPU 1399mW/1370mW SOC 1555mW/1540mW CV 0mW/0mW VDDRQ 777mW/748mW SYS5V 2889mW/2847mW
01-28-2025 14:00:29 RAM 9949/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@1188,73%@1188,64%@1186,83%@1188,off,off,off,off] EMC_FREQ 11%@1331 GR3D_FREQ 17%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@46C thermal@44.45C Tboard@45C AO@44C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 1399mW/1351mW CPU 1399mW/1372mW SOC 1555mW/1541mW CV 0mW/0mW VDDRQ 777mW/750mW SYS5V 2889mW/2848mW
01-28-2025 14:00:29 RAM 9948/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [80%@1188,63%@1188,76%@1186,86%@1187,off,off,off,off] EMC_FREQ 11%@1331 GR3D_FREQ 59%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@46C thermal@44.45C Tboard@45C AO@44C GPU@44C Tdiode@49.5C PMIC@50C GPU 1399mW/1353mW CPU 1399mW/1373mW SOC 1555mW/1542mW CV 0mW/0mW VDDRQ 777mW/751mW SYS5V 2849mW/2848mW
01-28-2025 14:00:29 RAM 9947/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [84%@1186,69%@1187,75%@1186,75%@1187,off,off,off,off] EMC_FREQ 11%@1331 GR3D_FREQ 59%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@46C thermal@44.6C Tboard@45C AO@44C GPU@44C Tdiode@49.25C PMIC@50C GPU 1399mW/1355mW CPU 1399mW/1374mW SOC 1555mW/1542mW CV 0mW/0mW VDDRQ 777mW/752mW SYS5V 2889mW/2850mW
01-28-2025 14:00:29 RAM 9952/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@1187,100%@1187,76%@1186,64%@1188,off,off,off,off] EMC_FREQ 11%@1331 GR3D_FREQ 20%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@46C thermal@44.6C Tboard@45C AO@44C GPU@44C Tdiode@49.25C PMIC@50C GPU 1399mW/1357mW CPU 1399mW/1375mW SOC 1555mW/1543mW CV 0mW/0mW VDDRQ 777mW/753mW SYS5V 2849mW/2850mW
01-28-2025 14:00:30 RAM 9952/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@1187,69%@1187,71%@1187,76%@1187,off,off,off,off] EMC_FREQ 11%@1331 GR3D_FREQ 27%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.6C Tboard@45C AO@44.5C GPU@44C Tdiode@49.5C PMIC@50C GPU 1399mW/1358mW CPU 1399mW/1376mW SOC 1555mW/1543mW CV 0mW/0mW VDDRQ 777mW/754mW SYS5V 2849mW/2850mW
01-28-2025 14:00:30 RAM 9955/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [78%@1185,73%@1184,53%@1186,83%@1186,off,off,off,off] EMC_FREQ 11%@1331 GR3D_FREQ 1%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.6C Tboard@45C AO@44.5C GPU@44C Tdiode@49.5C PMIC@50C GPU 1399mW/1360mW CPU 1399mW/1376mW SOC 1555mW/1543mW CV 0mW/0mW VDDRQ 777mW/754mW SYS5V 2849mW/2850mW
01-28-2025 14:00:30 RAM 9953/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [76%@1187,63%@1185,84%@1187,92%@1188,off,off,off,off] EMC_FREQ 11%@1331 GR3D_FREQ 3%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@46C thermal@44.6C Tboard@45C AO@44C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 1555mW/1367mW CPU 1399mW/1377mW SOC 1554mW/1544mW CV 0mW/0mW VDDRQ 777mW/755mW SYS5V 2889mW/2851mW
01-28-2025 14:00:30 RAM 9954/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [69%@1187,78%@1187,80%@1187,92%@1184,off,off,off,off] EMC_FREQ 11%@1331 GR3D_FREQ 20%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.6C Tboard@45C AO@44.5C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 1399mW/1368mW CPU 1399mW/1378mW SOC 1555mW/1544mW CV 0mW/0mW VDDRQ 777mW/756mW SYS5V 2889mW/2852mW
01-28-2025 14:00:30 RAM 9959/30991MB (lfb 562x4MB) SWAP 0/15495MB (cached 0MB) CPU [85%@1188,72%@1187,69%@1187,85%@1186,off,off,off,off] EMC_FREQ 11%@1331 GR3D_FREQ 14%@[675] VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.6C Tboard@45C AO@44.5C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 1555mW/1374mW CPU 1399mW/1379mW SOC 1554mW/1544mW CV 0mW/0mW VDDRQ 777mW/757mW SYS5V 2889mW/2854mW
