02-19-2025 10:28:23 RAM 11731/30991MB (lfb 2805x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2264,61%@2267,72%@2264,75%@2265,66%@2264,83%@2265,100%@2263,78%@2263] EMC_FREQ 16%@2133 GR3D_FREQ 42%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@49.95C Tboard@47C AO@48C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 4478mW/4157mW CPU 8957mW/8461mW SOC 3551mW/3454mW CV 0mW/0mW VDDRQ 1235mW/1081mW SYS5V 3800mW/3767mW
02-19-2025 10:28:23 RAM 11741/30991MB (lfb 2792x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,23%@2265,61%@2265,76%@2265,84%@2264,66%@2265,81%@2265,46%@2265] EMC_FREQ 16%@2133 GR3D_FREQ 38%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@49.95C Tboard@47C AO@48C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 4632mW/4177mW CPU 8802mW/8476mW SOC 3551mW/3458mW CV 0mW/0mW VDDRQ 1235mW/1087mW SYS5V 3800mW/3768mW
02-19-2025 10:28:23 RAM 11744/30991MB (lfb 2780x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2266,50%@2271,50%@2264,76%@2263,78%@2264,64%@2267,84%@2264,75%@2259] EMC_FREQ 16%@2133 GR3D_FREQ 28%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@50.45C Tboard@47C AO@48C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 4631mW/4196mW CPU 8798mW/8489mW SOC 3550mW/3462mW CV 0mW/0mW VDDRQ 1234mW/1093mW SYS5V 3800mW/3770mW
02-19-2025 10:28:23 RAM 11744/30991MB (lfb 2769x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,41%@2265,36%@2265,58%@2264,63%@2263,66%@2265,100%@2265,66%@2264] EMC_FREQ 17%@2133 GR3D_FREQ 5%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@53C thermal@50.45C Tboard@47C AO@48C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 4787mW/4220mW CPU 8648mW/8496mW SOC 3551mW/3466mW CV 0mW/0mW VDDRQ 1235mW/1099mW SYS5V 3800mW/3771mW
02-19-2025 10:28:23 RAM 11749/30991MB (lfb 2756x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2261,64%@2265,63%@2265,54%@2264,69%@2264,75%@2264,85%@2264,76%@2265] EMC_FREQ 17%@2133 GR3D_FREQ 36%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@50.45C Tboard@47C AO@48C GPU@51C Tdiode@51C PMIC@50C GPU 4941mW/4247mW CPU 8644mW/8501mW SOC 3550mW/3469mW CV 0mW/0mW VDDRQ 1234mW/1104mW SYS5V 3833mW/3773mW
02-19-2025 10:28:23 RAM 11752/30991MB (lfb 2748x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,18%@2264,61%@2264,50%@2265,66%@2264,81%@2264,58%@2265,75%@2265] EMC_FREQ 17%@2133 GR3D_FREQ 27%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52.5C thermal@50.45C Tboard@47C AO@48C GPU@50.5C Tdiode@51C PMIC@50C GPU 5096mW/4279mW CPU 8493mW/8501mW SOC 3551mW/3472mW CV 0mW/0mW VDDRQ 1235mW/1109mW SYS5V 3800mW/3774mW
02-19-2025 10:28:24 RAM 11754/30991MB (lfb 2744x4MB) SWAP 0/15495MB (cached 0MB) CPU [91%@2265,53%@2267,41%@2264,66%@2266,46%@2265,100%@2263,54%@2264,83%@2264] EMC_FREQ 17%@2133 GR3D_FREQ 43%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@50.45C Tboard@47C AO@48C GPU@51C Tdiode@51C PMIC@50C GPU 5250mW/4314mW CPU 8339mW/8495mW SOC 3551mW/3475mW CV 0mW/0mW VDDRQ 1234mW/1113mW SYS5V 3840mW/3776mW
02-19-2025 10:28:24 RAM 11755/30991MB (lfb 2744x4MB) SWAP 0/15495MB (cached 0MB) CPU [72%@2265,92%@2265,69%@2265,85%@2264,69%@2264,100%@2265,87%@2264,78%@2265] EMC_FREQ 18%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@50.45C Tboard@47C AO@48C GPU@51C Tdiode@51C PMIC@50C GPU 5402mW/4351mW CPU 8490mW/8495mW SOC 3550mW/3477mW CV 0mW/0mW VDDRQ 1234mW/1118mW SYS5V 3840mW/3779mW
02-19-2025 10:28:24 RAM 11758/30991MB (lfb 2743x4MB) SWAP 0/15495MB (cached 0MB) CPU [78%@2264,84%@2265,76%@2265,58%@2265,66%@2265,100%@2265,75%@2264,84%@2266] EMC_FREQ 18%@2133 GR3D_FREQ 36%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@50.45C Tboard@47C AO@48C GPU@51C Tdiode@51C PMIC@50C GPU 5402mW/4386mW CPU 8490mW/8495mW SOC 3704mW/3485mW CV 0mW/0mW VDDRQ 1234mW/1121mW SYS5V 3880mW/3782mW
02-19-2025 10:28:24 RAM 11764/30991MB (lfb 2742x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@2265,58%@2265,100%@2265,69%@2265,91%@2264,100%@2265,76%@2265,83%@2265] EMC_FREQ 18%@2133 GR3D_FREQ 44%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@50.45C Tboard@47C AO@48C GPU@51C Tdiode@51.25C PMIC@50C GPU 5554mW/4424mW CPU 8641mW/8500mW SOC 3703mW/3492mW CV 0mW/0mW VDDRQ 1234mW/1125mW SYS5V 3880mW/3785mW
