01-23-2025 10:15:47 RAM 7257/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [18%@2257,84%@2256,50%@2256,23%@2257,53%@2257,27%@2258,30%@2258,33%@2254] EMC_FREQ 12%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.5C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 5111mW/4553mW CPU 5420mW/5044mW SOC 3252mW/3199mW CV 0mW/0mW VDDRQ 1084mW/1037mW SYS5V 3451mW/3415mW
01-23-2025 10:15:47 RAM 7259/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [18%@2258,75%@2254,16%@2257,38%@2251,45%@2254,41%@2259,41%@2261,46%@2258] EMC_FREQ 13%@2133 GR3D_FREQ 3%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.5C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4956mW/4570mW CPU 5420mW/5060mW SOC 3252mW/3201mW CV 0mW/0mW VDDRQ 1084mW/1039mW SYS5V 3451mW/3417mW
01-23-2025 10:15:48 RAM 7259/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [36%@2256,53%@2257,18%@2257,36%@2259,38%@2258,25%@2255,33%@2258,84%@2253] EMC_FREQ 13%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.5C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4801mW/4579mW CPU 5420mW/5074mW SOC 3252mW/3203mW CV 0mW/0mW VDDRQ 1084mW/1040mW SYS5V 3451mW/3418mW
01-23-2025 10:15:48 RAM 7259/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [25%@2258,69%@2257,33%@2257,38%@2257,30%@2257,16%@2257,25%@2257,81%@2257] EMC_FREQ 13%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.5C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4956mW/4593mW CPU 5420mW/5088mW SOC 3252mW/3205mW CV 0mW/0mW VDDRQ 1084mW/1042mW SYS5V 3451mW/3419mW
01-23-2025 10:15:48 RAM 7260/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [41%@2253,63%@2256,54%@2255,40%@2259,16%@2258,33%@2257,36%@2259,57%@2255] EMC_FREQ 13%@2133 GR3D_FREQ 6%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.65C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.5C PMIC@50C GPU 4956mW/4607mW CPU 5420mW/5100mW SOC 3252mW/3206mW CV 0mW/0mW VDDRQ 1084mW/1044mW SYS5V 3451mW/3421mW
01-23-2025 10:15:48 RAM 7261/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [0%@2258,25%@2256,61%@2255,41%@2253,83%@2258,33%@2257,50%@2258,10%@2262] EMC_FREQ 13%@2133 GR3D_FREQ 7%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.65C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.5C PMIC@50C GPU 4956mW/4619mW CPU 5420mW/5111mW SOC 3252mW/3208mW CV 0mW/0mW VDDRQ 1084mW/1045mW SYS5V 3451mW/3422mW
01-23-2025 10:15:48 RAM 7264/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [16%@2262,16%@2255,50%@2257,27%@2255,83%@2255,40%@2258,16%@2258,41%@2259] EMC_FREQ 13%@2133 GR3D_FREQ 2%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.65C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4956mW/4631mW CPU 5265mW/5117mW SOC 3252mW/3209mW CV 0mW/0mW VDDRQ 1084mW/1046mW SYS5V 3451mW/3423mW
01-23-2025 10:15:48 RAM 7266/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [33%@2258,41%@2258,33%@2253,38%@2257,81%@2258,41%@2257,41%@2258,36%@2257] EMC_FREQ 13%@2133 GR3D_FREQ 28%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.65C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4958mW/4642mW CPU 5265mW/5121mW SOC 3252mW/3211mW CV 0mW/0mW VDDRQ 1084mW/1048mW SYS5V 3451mW/3424mW
01-23-2025 10:15:48 RAM 7266/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [15%@2256,8%@2259,36%@2254,76%@2258,18%@2262,90%@2260,53%@2258,46%@2257] EMC_FREQ 13%@2133 GR3D_FREQ 2%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.65C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4803mW/4647mW CPU 5265mW/5126mW SOC 3252mW/3212mW CV 0mW/0mW VDDRQ 1084mW/1049mW SYS5V 3451mW/3424mW
01-23-2025 10:15:48 RAM 7266/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [18%@2257,16%@2257,25%@2257,54%@2257,58%@2258,50%@2258,36%@2253,38%@2258] EMC_FREQ 13%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@49.65C Tboard@48C AO@48.5C GPU@50C Tdiode@53.25C PMIC@50C GPU 4956mW/4657mW CPU 5265mW/5130mW SOC 3252mW/3213mW CV 0mW/0mW VDDRQ 1084mW/1050mW SYS5V 3451mW/3425mW
