01-23-2025 09:46:14 RAM 10470/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [61%@2256,61%@2255,72%@2259,63%@2257,45%@2254,50%@2257,41%@2257,46%@2256] EMC_FREQ 14%@2133 GR3D_FREQ 22%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48C GPU@49.5C Tdiode@53.5C PMIC@50C GPU 4952mW/4488mW CPU 6651mW/6295mW SOC 3404mW/3334mW CV 0mW/0mW VDDRQ 1238mW/1125mW SYS5V 3691mW/3678mW
01-23-2025 09:46:14 RAM 10471/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [66%@2257,66%@2256,50%@2256,66%@2255,58%@2254,36%@2263,58%@2258,66%@2256] EMC_FREQ 14%@2133 GR3D_FREQ 41%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52.5C thermal@49.8C Tboard@48C AO@48.5C GPU@50C Tdiode@53.5C PMIC@50C GPU 4952mW/4508mW CPU 6806mW/6317mW SOC 3404mW/3337mW CV 0mW/0mW VDDRQ 1237mW/1130mW SYS5V 3691mW/3678mW
01-23-2025 09:46:14 RAM 10470/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [53%@2257,41%@2257,27%@2258,81%@2257,33%@2255,33%@2255,41%@2253,46%@2255] EMC_FREQ 14%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4797mW/4520mW CPU 6654mW/6331mW SOC 3404mW/3340mW CV 0mW/0mW VDDRQ 1238mW/1134mW SYS5V 3691mW/3679mW
01-23-2025 09:46:14 RAM 10469/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [42%@2256,63%@2256,58%@2255,30%@2250,45%@2257,50%@2256,50%@2253,27%@2257] EMC_FREQ 14%@2133 GR3D_FREQ 28%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4797mW/4531mW CPU 6499mW/6338mW SOC 3404mW/3342mW CV 0mW/0mW VDDRQ 1238mW/1138mW SYS5V 3691mW/3679mW
01-23-2025 09:46:14 RAM 10468/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [63%@2258,71%@2256,58%@2256,42%@2258,53%@2257,61%@2257,58%@2256,27%@2258] EMC_FREQ 14%@2133 GR3D_FREQ 37%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48C GPU@50C Tdiode@53.25C PMIC@50C GPU 4952mW/4547mW CPU 6499mW/6344mW SOC 3404mW/3345mW CV 0mW/0mW VDDRQ 1238mW/1142mW SYS5V 3691mW/3680mW
01-23-2025 09:46:14 RAM 10471/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [36%@2257,71%@2257,45%@2256,33%@2254,45%@2255,75%@2255,61%@2257,41%@2257] EMC_FREQ 14%@2133 GR3D_FREQ 42%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48.5C GPU@50C Tdiode@53.25C PMIC@50C GPU 4952mW/4562mW CPU 6499mW/6350mW SOC 3404mW/3347mW CV 0mW/0mW VDDRQ 1238mW/1146mW SYS5V 3691mW/3680mW
01-23-2025 09:46:14 RAM 10474/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [58%@2255,33%@2257,58%@2256,64%@2257,50%@2255,41%@2258,40%@2257,61%@2255] EMC_FREQ 15%@2133 GR3D_FREQ 47%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48.5C GPU@50C Tdiode@53.5C PMIC@50C GPU 4952mW/4576mW CPU 6499mW/6355mW SOC 3404mW/3349mW CV 0mW/0mW VDDRQ 1238mW/1149mW SYS5V 3691mW/3681mW
01-23-2025 09:46:14 RAM 10474/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [54%@2258,45%@2257,50%@2257,72%@2253,41%@2258,54%@2257,40%@2258,50%@2254] EMC_FREQ 15%@2133 GR3D_FREQ 42%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.5C PMIC@50C GPU 4952mW/4589mW CPU 6499mW/6360mW SOC 3404mW/3351mW CV 0mW/0mW VDDRQ 1238mW/1152mW SYS5V 3691mW/3681mW
01-23-2025 09:46:15 RAM 10477/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [30%@2256,38%@2253,36%@2256,81%@2258,53%@2258,36%@2256,46%@2258,50%@2262] EMC_FREQ 15%@2133 GR3D_FREQ 16%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51.5C thermal@49.8C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.5C PMIC@50C GPU 4952mW/4601mW CPU 6499mW/6365mW SOC 3404mW/3353mW CV 0mW/0mW VDDRQ 1238mW/1155mW SYS5V 3691mW/3681mW
01-23-2025 09:46:15 RAM 10476/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [50%@2258,54%@2258,80%@2257,58%@2257,41%@2257,18%@2257,72%@2258,50%@2257] EMC_FREQ 15%@2133 GR3D_FREQ 17%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48.5C GPU@50C Tdiode@53.5C PMIC@50C GPU 4952mW/4612mW CPU 6499mW/6369mW SOC 3404mW/3354mW CV 0mW/0mW VDDRQ 1238mW/1157mW SYS5V 3731mW/3683mW
01-23-2025 09:46:15 RAM 10477/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [60%@2258,40%@2259,36%@2258,58%@2257,85%@2256,76%@2258,41%@2257,50%@2258] EMC_FREQ 15%@2133 GR3D_FREQ 46%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@49.8C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.5C PMIC@50C GPU 4797mW/4618mW CPU 6654mW/6378mW SOC 3404mW/3356mW CV 0mW/0mW VDDRQ 1238mW/1160mW SYS5V 3731mW/3684mW
