02-07-2025 09:36:05 RAM 7830/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2265,0%@2264,41%@2260,0%@2260,18%@2263,7%@2267,0%@2260,0%@2264] EMC_FREQ 11%@2133 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@48C thermal@46.6C Tboard@47C AO@46C GPU@46.5C Tdiode@48.75C PMIC@50C GPU 1398mW/1990mW CPU 2486mW/4542mW SOC 2797mW/3198mW CV 0mW/-25mW VDDRQ 621mW/885mW SYS5V 3440mW/3586mW
02-07-2025 09:36:05 RAM 7830/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [12%@1349,6%@1278,0%@1189,0%@1190,0%@1190,0%@1190,0%@1188,0%@1190] EMC_FREQ 16%@1331 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@47.5C thermal@46.6C Tboard@47C AO@46C GPU@46.5C Tdiode@48.75C PMIC@50C GPU 1088mW/1954mW CPU 2020mW/4441mW SOC 2487mW/3170mW CV 0mW/-24mW VDDRQ 621mW/874mW SYS5V 3360mW/3577mW
02-07-2025 09:36:05 RAM 7830/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [7%@2264,0%@1189,0%@1190,0%@1190,0%@1190,7%@1190,0%@1190,7%@1188] EMC_FREQ 14%@1331 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@47C thermal@46.6C Tboard@47C AO@45.5C GPU@46.5C Tdiode@48.75C PMIC@50C GPU 933mW/1915mW CPU 1555mW/4330mW SOC 2332mW/3138mW CV 0mW/-23mW VDDRQ 466mW/858mW SYS5V 3360mW/3569mW
02-07-2025 09:36:05 RAM 7830/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [13%@1608,6%@1190,6%@1188,0%@1190,0%@1190,6%@1189,6%@1190,6%@1234] EMC_FREQ 13%@1331 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@47C thermal@46.6C Tboard@47C AO@45.5C GPU@46.5C Tdiode@48.75C PMIC@50C GPU 777mW/1872mW CPU 1400mW/4222mW SOC 2333mW/3108mW CV 0mW/-22mW VDDRQ 466mW/844mW SYS5V 3320mW/3560mW
02-07-2025 09:36:05 RAM 7830/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [7%@1191,0%@1190,0%@1190,13%@1190,0%@1187,0%@1189,7%@1190,0%@1190] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@47C thermal@46.6C Tboard@47C AO@45.5C GPU@46C Tdiode@48.75C PMIC@50C GPU 622mW/1828mW CPU 1244mW/4115mW SOC 2178mW/3075mW CV 0mW/-22mW VDDRQ 466mW/830mW SYS5V 3320mW/3551mW
02-07-2025 09:36:05 RAM 7830/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [7%@1190,0%@1190,14%@1190,7%@1189,0%@1189,7%@1190,7%@1190,0%@1190] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@45.5C CPU@47C thermal@46.6C Tboard@47C AO@45.5C GPU@46C Tdiode@48.75C PMIC@50C GPU 622mW/1786mW CPU 1089mW/4011mW SOC 2179mW/3044mW CV 0mW/-21mW VDDRQ 466mW/818mW SYS5V 3280mW/3542mW
02-07-2025 09:36:05 RAM 7830/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [7%@2260,0%@1190,0%@1189,0%@1190,7%@1189,0%@1190,7%@1190,0%@1188] EMC_FREQ 9%@1331 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@47C thermal@46.6C Tboard@47C AO@45.5C GPU@46C Tdiode@48.75C PMIC@50C GPU 466mW/1742mW CPU 933mW/3908mW SOC 2179mW/3015mW CV -311mW/-31mW VDDRQ 311mW/801mW SYS5V 3280mW/3533mW
02-07-2025 09:36:06 RAM 7830/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@1190,0%@1189,7%@1190,0%@1189,0%@1190,0%@1189,0%@1187,0%@1190] EMC_FREQ 8%@1331 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@47C thermal@46.6C Tboard@47C AO@45.5C GPU@46C Tdiode@48.5C PMIC@50C GPU 466mW/1701mW CPU 933mW/3812mW SOC 2179mW/2988mW CV -311mW/-40mW VDDRQ 311mW/785mW SYS5V 3280mW/3525mW
02-07-2025 09:36:06 RAM 7831/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [7%@1189,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1189,7%@1190] EMC_FREQ 8%@1331 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@47C thermal@46.3C Tboard@47C AO@45.5C GPU@46C Tdiode@48.5C PMIC@50C GPU 466mW/1662mW CPU 933mW/3722mW SOC 2179mW/2963mW CV -311mW/-48mW VDDRQ 311mW/770mW SYS5V 3280mW/3517mW
02-07-2025 09:36:06 RAM 7831/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2265,0%@1190,7%@1190,0%@1190,0%@1190,7%@1190,0%@1190,7%@1186] EMC_FREQ 7%@1331 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@46.5C thermal@46.3C Tboard@47C AO@45.5C GPU@46C Tdiode@48.5C PMIC@50C GPU 466mW/1626mW CPU 778mW/3633mW SOC 2023mW/2934mW CV 0mW/-47mW VDDRQ 311mW/756mW SYS5V 3240mW/3509mW
02-07-2025 09:36:06 RAM 7831/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [7%@1188,0%@1187,14%@1190,0%@1190,0%@1190,7%@1190,0%@1190,7%@1189] EMC_FREQ 6%@1331 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@46.5C thermal@46.3C Tboard@47C AO@45.5C GPU@46C Tdiode@48.5C PMIC@50C GPU 466mW/1592mW CPU 778mW/3549mW SOC 2023mW/2907mW CV -311mW/-54mW VDDRQ 311mW/743mW SYS5V 3240mW/3501mW
02-07-2025 09:36:06 RAM 7831/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2266,0%@1185,7%@1188,0%@1190,0%@1190,0%@1187,6%@1190,6%@1189] EMC_FREQ 6%@1331 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@45.5C CPU@47C thermal@46.3C Tboard@47C AO@45.5C GPU@46C Tdiode@48.5C PMIC@50C GPU 466mW/1560mW CPU 778mW/3470mW SOC 2023mW/2882mW CV 0mW/-53mW VDDRQ 311mW/731mW SYS5V 3240mW/3493mW
02-07-2025 09:36:06 RAM 7831/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [7%@2265,0%@1190,7%@1190,0%@1190,0%@1190,0%@1190,6%@1191,18%@1189] EMC_FREQ 5%@1331 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@45.5C CPU@47C thermal@46.3C Tboard@47C AO@45.5C GPU@46C Tdiode@48.5C PMIC@50C GPU 466mW/1529mW CPU 778mW/3395mW SOC 2023mW/2858mW CV 0mW/-51mW VDDRQ 311mW/719mW SYS5V 3240mW/3486mW
02-07-2025 09:36:06 RAM 7831/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [7%@1189,0%@1190,0%@1189,0%@1189,0%@1193,0%@1190,0%@1189,0%@1190] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@46.5C thermal@46.3C Tboard@47C AO@45.5C GPU@46C Tdiode@48.5C PMIC@50C GPU 466mW/1501mW CPU 778mW/3324mW SOC 2023mW/2836mW CV 0mW/-50mW VDDRQ 311mW/708mW SYS5V 3240mW/3480mW
02-07-2025 09:36:07 RAM 7831/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2265,0%@1189,0%@1191,0%@1189,7%@1190,13%@1190,0%@1188,0%@1190] EMC_FREQ 4%@1331 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@45.5C CPU@46.5C thermal@46.3C Tboard@47C AO@45.5C GPU@46C Tdiode@48.5C PMIC@50C GPU 466mW/1473mW CPU 778mW/3257mW SOC 2023mW/2814mW CV 0mW/-49mW VDDRQ 311mW/698mW SYS5V 3240mW/3473mW
02-07-2025 09:36:07 RAM 7833/30991MB (lfb 3003x4MB) SWAP 0/15495MB (cached 0MB) CPU [7%@2265,0%@2265,7%@2265,0%@2266,0%@2272,15%@2265,0%@2265,25%@2261] EMC_FREQ 4%@1331 GR3D_FREQ 0%@[624] VIC_FREQ 1036 APE 150 AUX@45.5C CPU@47C thermal@46.3C Tboard@47C AO@45C GPU@46C Tdiode@48.5C PMIC@50C GPU 466mW/1448mW CPU 778mW/3194mW SOC 2023mW/2794mW CV -311mW/-55mW VDDRQ 311mW/688mW SYS5V 3240mW/3467mW
